,Balance Sheet Location,"January 28,2023","January 28,2023","January 29,2022","January 29,2022"
Assets,,,,,
Operating leases,Operating lease assets,$,"2,746",$,"2,654"
Finance leases,"Property underfinance leases, net(1)",,50,,45
Total lease assets,,$,2.796,$,"2,699"
Liabilities,,,,,
Current:,,,,,
Operating leases,Current portion of operating lease liabilities,$,638,$,648
Finance leases,Current portion of long-term debt,,16,,13
Non-current:,,,,,
Operating leases,Long-term operating lease liabilities,,"2,164",,"2,061"
Finance leases,Long-term debt,,26,,27
Total lease liabilities,,$,"2,844",$,"2,749"
