Consolidated Performance Summary,2023,2023,2022,2022,2021
Revenue,$,"46,298 $","51,761",$,"47,262"
Revenue % change,,(10.6)%,,9.5%,8.3%
Comparable sales % change,,(9.9)%,,10.4 %,9.7 %
Gross profit,$,9.912,$,"11,640 $","10,573"
Gross profit as a % of revenue(1),,21.4 %,,22.5 %,22.4 %
SG&A,$,"7,970",$,8.635 $,"7,928"
SG&A as a % of revenue(1),,17.2 %,,16.7 %,16.8 %
Restructuring charges,$,147,$,(34) $,254
Operating income,$,"1,795",$,3.039 $,"2,391"
Operating income as a % of revenue,,3.9%,,5.9 %,5.1%
Net earnings,$,"1,419",$,"2,454 $","1,798"
Diluted earnings per share,$,6.29,$,9.84 $,6.84
