,2023,2022,2021
Revenue by reportable segment,,,
Domestic,"$ 42,794","$ 47,830","$ 43,293"
International,"3,504 $","3,931","3,969"
Total revenue,"46,298","$ 51,761","$ 47,262"
Revenue by product category,,,
Domestic:,,,$
Computing and Mobile Phones,"18,191","20,693","19,799"
Consumer Electronics,"13,040","15,009","13,022"
Appliances,6.381,6.784,5.489
Entertainment,"2,786",2.963,"2,769"
Services,2.149,"2,190",2.082
Other,247,191,132
Total Domestic revenue,42.794,47.830,"43,293"
International:,,,
Computing and Mobile Phones,"1,575","1,785",1.854
Consumer Electronics,"1,054","1,194","1,189"
Appliances,355,383,384
Entertainment,267,312,310
Services,183,190,170
Other,70,67,62
Total International revenue,3.504,3.931,3.969
