部件名称,铅(Pb),汞(Hg),镉(Cd),六价铬(Cr(VI)),多溴联苯(PBB),多溴二苯醚(PBDE)
印刷电路板组件,X,0,0,0,0,0
硬盘,X,0,0,0,0,0
光驱,X,0,0,0,0,0
LCD面板(LED背光源),X,0,0,0,0,0
键盘,X,0,0,0,0,0
内存,X,0,0,0,0,0
电池,X,0,0,0,0,0
电源适配器,X,0,0,0,0,0
底壳、顶盖和扬声器,X,0,0,0,0,0
注:本表依据SJ/T11364的规定编制。,,,,,,
O:表示该有害物质在该部件所有均质材料中的含量均在GB/T26572标准规定的限量要求以下。,,,,,,
X:表示该有害物质至少在该部件的某一均质材料中的含量超出GB/T26572标准规定的限量要求。标有“X”的部件，皆因全球技术水平限制而无法实现有害物质的替代。印刷电路板组件包括印刷电路板(PCB)及其组件、集成电路(IC)和连接器。某些型号的产品可能不包含上表中的某些部件，请以实际购买机型为准。,,,,,,
图示:在中华人民共和国境内销售的电子信息产品上将印有“环保使用期限”(EPuP)符号。圆圈中的数字代表产品的正常环保使用期限。,,,,,,
