Touch gesture (touch models only),Description
,"Touch: Tap. Mouse action: Click. Function: Open an app or perform an action on an open app, such as Copy, Save,"
,"and Delete, depending on the app. Touch: Tap and hold. Mouse action: Right-click."
,Function: Open a menu with multiple options. Touch: Slide.
,"Mouse action: Scroll the mouse wheel, move the scroll bar, or click the scroll arrow. Function: Scrol through items,such as lists,pages,and photos. Touch: Drag an item to the location you want."
,"Mouse action: Click, hold, and drag an item. Function: Move an object. Touch: Move two fingers closer together."
,Mouse action: Press the Ctrl key while scroling the mouse wheel backward. Function: Zoom out. Touch: Move two fingers farther apart.
,Mouse action: Press the Ctrl key while scrolling the mouse wheel forward. Function: Zoom in. Touch: Swipe in from the right edge.
,Mouse action: Click the action centericonin the Windows notification area. Function: Open the action center to see your notifications and quick actions.
+,Touch: Swipe in from the left edge. Mouse action: Click the task-view icon [l on the taskbar. Function: View all your open windows in task view.
→,"· Short swipe for full-screened app or when your computer is in the tablet mode Touch: Swipe downwards shortly from the top edge. Mouse action: Move your pointer to the top edge of the screen. Function: Show a hidden title bar. Long swipe when your computer is in the tablet mode Touch: Swipe in from the top edge to the bottom edge. Mouse action: From the top edge of the screen, click and hold, move the pointer to the bottom of the screen,and then release. Function: Close the current app."
