Year,Aurora,Giltner,Hampton,Hordville,Marquette,Phillips,Stockham
1890,"1,862",195,430,NA,261,NA,211
1900,"1,921",282,367,NA,210,186,169
1910,"2,630",410,383,NA,290,274,189
1920,"2,962",387,457,191,305,274,239
1930,"2,715",355,369,175,318,221,211
1940,"2,419",325,310,160,245,205,197
1950,"2,455",284,289,116,218,190,82
1960,"2,576",293,331,128,210,192,69
1970,"3,180",408,387,147,239,341,65
1980,"3,717",400,419,155,303,405,68
1990,"3,810",367,432,164,281,316,64
2000,"4,225",389,439,150,282,336,60
