2015,2016,Whole Foods Market,Other 2017 Acquisitions,Total
"Cash paid, net of cash acquired",$599,$81,"$13,176","$683,$13,859"
Stock options assumed,$5,$0,$0,"$0,$0"
Indemnification holdback,$86,$22,$0,"$104,$104"
$690,$103,"$13,176",$787,"$13,963"
Goodwill,$482,$60,"$9,010","$491,$9,501"
Intangible assets (1):,$3,$2,"$1,928","$59,$1,987"
Marketing-related,$1,$1,$407,"$33,$440"
Contract-based,$208,$53,$0,"$166,$166"
Technology-based,$18,$1,$0,"$54,$54"
$230,$57,"$2,335",$312,"$2,647"
Property and equipment,$4,$3,"$3,794","$16,$3,810"
Deferred tax assets,$55,$17,$95,"$22,$117"
Other assets acquired,$53,$10,"$1,711","$147,$1,858"
Long-term debt,($3),($5),"($1,158)","($7),($1,165)"
Deferred tax liabilities,($85),($18),($925),"($36),($961)"
Other liabilities assumed,($46),($21),"($1,686)","($158),($1,844)"
$690,$103,"$13,176",$787,"$13,963"
