Exhibit Number,Description
2.1*,"Agreement and PlanofMerger.dated asofJune 15,2017.among he Company. Walnut Merger Sub,Inc.,and WholeFoods Market,Inc. (incorporated by reference to the Company's Current Report on Form 8-K, filed June 16.2017)."
3.1,"RestatedCrtifiateofcoporatioofteCompanyicorporatedbyeferecetEhibit3.1toteCompanysQuarterlReportonFo for the Quarter ended March 31, 2000)."
3.2,"Amended andRestated Bylaws of the Company(incorporatedbyreference to the Company's Current ReportonForm8-K,filedFebruary25. 2016)"
4.1,"IndenturedatedasofNovember 29,212btwenAmazonco,Inc.and WellsFargoBank,NationalAsociationas trusteeandFormof 0.650%Note due2015Forof100%Ntedue217andForof250%Notedue2022(incoporatedbyreferenettheCompansCurrent Report on Form 8-K, filed November 29, 2012)."
4.2,"Officers' CertificateofAmazocom,Inc.datedasofDecember5,2014containigFormof600%Nte due2019,Formof3300%Notedue 2021,Formof3.800% Note due2024Formof4.800%Notedue2034andFomof4950% Note due2044 (incorporatedbyreferenceto the Company's Current Report on Form 8-K, filed December 5,2014)."
,"Oficers’CertificateofAmazoncom,Ic.datedasofAugust22017containingFormof1900%Notedue2020Formof2.400%Notedue 2023,Formof2.800% Notedue2024,Formof3.150%Notedue2027Formof3.875%Notedue2037Formof4050% Notedue2047andFom of4.250% Note due 2057(incorporated by reference to the Company's Currnt Report on Form 8-K,filed August 22,2017)."
,"RegistrationRights Agreement,dated asofAugust22.2017amongAmazocom,Inc.andtherepresentatives of te initialpurchasersf Amazon.com,Inc.s1900%Ntesdue20202.400%Notesdue2023,2.800%Ntesdue20243.150%Notesdue2073.875%Ntesdue2037 4.050%Notesdue247and4%Notesde257(icoporatedyeferenetteCompay’sCurentReportonF8-KfiledAus2. 2017)"
4.5,"Officers'CertifateofAmazcoItedasofembr20cotaigFof0%otedue2(incoporatedbyeceto the Company's Current Report on Form 8-K, filed December 20, 2017)."
10.1†,"1997 StockIncentivePlan(amendedandrestated)(incorporatedbyreferencetotheCompanysQuarterlyReportonFor10-QfortheQuarte ended March 31, 2013)."
10.2†,1999NonoffcerEmploe Stock OptionPan (amendedandrstated)(incorporatedbyeferencetotheCompanysQuartrlyReportonFo
,"Q for the Quarter ended March 31, 2013)."
10.3†,FormofndemifcationAgreementbetweethCompanyandachofitsiretors (incorporatedbyeerecetoExhibit10.1totheCopays
,"Registration Statement on Form S-1(Registration No. 333-23795)filed March 24,1997,as amended on April 21,1997)."
10.4†,"FormofRestrictedStock Unit AgreementfrOficersandEmplos (incoporatedbyefereette Compan's AnualReprtonFom10-K for the Year ended December 31, 2002)."
10.5†,FormofRestrctedStockUnitAgreementforDrectors (icorporatedyeferencetoteCompay’sAnalReportonFor10-KfotheYear
,"ended December 31,2002). FormofRestrictedStock Agreement (incorporatedbyreferencetotheCompanysAmualReportonForm10-KfortheYearendedDeceber31"
10.6†,2001).
10.7†,"FormofGlobalRestrctedStock Unit Award AgreementfExeutie Ofers (coporatedbyreferecetote Company'sQuarterlyeporto Form 10-Q for the Quarter ended June 30, 2017)."
10.8,"Credit AgreementdatedasofMay202016amngAmazoncom,Inc.Bank ofAmericaNAasadministrativeagentandtheotrders partythereto (incorporated by reference to the Company's QuarterlyReport onForm 10-Qfor the Quarter ended June 30,2016)."
10.9+,"Independent Contractor Agreement,dated as ofMarch 15.2017betweenAmazon Corporate LLCand WillimB.Gordon (incorporated by reference to the Company's Quarterly Report on Form 10-Q for the Quarter ended March 31, 2017)."
12.1,Computation of Ratio of Earnings to Fixed Charges.
21.1,List of Significant Subsidiaries.
23.1,Consent of Independent Registered Public Accounting Firm.
31.1,"CertificationofJefreyPBezos.Chaimanand ChiefExecutive OffcerofAmazoncom,Ic.pursuantoule13a-14(a)undertheSecurities Exchange Act of 1934."
31.2,CerificationofBranT.OlsavskySnor VicePresidentnd ChiefFnancial OffcerofAmazcomInc.pursuanttoRule13a-14(a)udethe
,Securities Exchange Act of 1934.
32.1,"Certification ofJeffreyP.Bezos. Chairman and ChiefExecutive Offcerof Amazon.com,Inc.pursuant to18 U.S.C.Section1350."
32.2,CertificationofBrianT.OlsavskySenor VicePresidentandChiefFnancialOficerofAmazcomIncpursuanto18US.CSction1350
101,
,"Th followingfacialsatementsfrotheompanysualeportoFo-Kfortheyarededcebr31,17faedX"
,"(i)ConsolidateatementsofCashows(osoidateatemetsoOprs,(osolateatemetsofompesiec"
,(iv)Consolidatedlacets(oslidatedateetsftocoersuityd(otestosoatedFacaat
,tagged as blocks of text and including detailed tags.
,"AspemitedbyIte6b)(4)(i)()ofeglatioS-K,teCompaysnotfedwithtisAualReportonF-Kcertaiistts"
,defiing teghtsofodersoflngtedbtftCompayanditssubsidasbecasetetotalamoutofscuritisauthodheder
,doesnotexedptoftetotalssesoftComaydtssubsidasosoliatedbasiseompastfusy
,such agreements to the Commission upon request.
