,Cost or Amortized,Cost or Amortized,Gross Gross Unrealized Unrealized,Gross Gross Unrealized Unrealized,Total Estimated,Total Estimated
,Cost,,Gains,Losses,$,Fair Value
Cash $,,6.883$,$,,,"6,883"
Level 1 securities:,,,,,,
Money market funds,"11,940",,,,,"11,940"
Equity securities,,20,31,,,51
Level 2 securities:,,,,,,
Foreign government and agency securities U.S. government and agency securities,"4,821",337,,,,337
,"2,105",,2,,(7),"4,816"
Corporate debt securities,,355,1,,(2) (2),"2,104"
Asset-backed securities Other fixed income securities,,97,,,,353
,"$ 26,558",,34$,,(11),"97 26,581"
"Les: Restricted cash, cash equivalents, and marketable securities (1) Total cash, cash equivalents, and marketable securities",,,,,$,"(600） 25,981"
