"December 31,2016 2017","December 31,2016 2017","December 31,2016 2017",,
"December 31,2016 2017","December 31,2016 2017","December 31,2016 2017",2016 2017,2016 2017
Gross property and equipment (1): Land and buildings,,,,
Gross property and equipment (1): Land and buildings,"$ 13,998$","23,718",,
Equipment and internal-use software (2),"25,989",38.387,,
Other corporate assets,649,2.390,,
Construction in progress,"1,805","4,078",,
Gross property and equipmentTotal accumulated depreciation (1),42.441,"68,573",,
Gross property and equipmentTotal accumulated depreciation (1),13.327,"19,707",,
"Total property and equipment, net","$ 29,114","$ 48,866",,
