Name,Age,Position
Jeffrey P. Bezos,54,"President,Chief Executive Officer,and Chairman of the Board"
Tom A. Alberg,77,"Managing Director,Madrona Venture Group"
John Seely Brown,77,"Visiting Scholar and Advisor to the Provost,University of Southern California"
Jamie S. Gorelick,67,"Partner,Wilmer Cutler Pickering Hale and Dorr LLP"
Daniel P. Huttenlocher,59,"Dean and Vice Provost,Cornell Tech at Cornell University"
Judith A. McGrath,65,"President,Astronauts Wanted * No experience necessary"
Jonathan J. Rubinstein,61,"Former co-CEO,Bridgewater Associates,LP"
Thomas O. Ryder,73,"Retired,Former Chairman,Reader's Digest Association,Inc."
Patricia Q. Stonesifer,61,"President and Chief Executive Officer,Martha's Table"
Wendell P. Weeks,58,"Chief Executive Officer,Corning Incorporated"
