Cost or Amortized Cost,,Gross Unrealized Gains,Gross Unrealized Losses,,Total Estimated Fair Value
"$9,982",,,"$9,982",,
Level 1 securities:,,,,,
Money market funds,,"11,343",,,"11,343"
Equity securities,,23,30,,53
Level 2 securities:,,,,,
Foreign government and agency securities,,620,,,620
U.S. government and agency securities,,"4,841",1,(19),"4,823"
Corporate debt securities,,"4,265",1,(9),"4,257"
Asset-backed securities,,910,,(5),"-5,905"
Other fixed income securities,,340,,(2),"-2,338"
"$32,324",,32,(35),"$32,321",
"Less: Restricted cash, cash equivalents, and marketable securities (1)",,,,,",$(1,335)"
"Total cash, cash equivalents, and marketable securities",,,,,",$30,986"
