,,"YearEndedDecember31,",
,2015,2016,2017
North America,,,
Net sales,"$ 63,708","$ 79,785$","106,110"
Operating expenses,"62,283","77,424","103,273"
Operating income,"$ 1,425",$ 2.361s,2.837
International,,,
Net sales,"$ 35,418","$ 43,983$","54,297"
Operating expenses,"36,117","45,266","57,359"
Operating income (loss),$ 699)$,"(1,283）S","(3,062)"
AWS,,,
Net sales,"$ 7,880",$ 12.219,"$ 17,459"
Operating expenses,"6,373","9,111","13,128"
Operating income,"$ 1,507","$ 3,108","$ 4,331"
Consolidated,,,
Net sales,"$ 107,006","$ 135,987","177,866"
Operating expenses,"104,773","131,801","173,760"
Operating income,2.233,"4,186","4,106"
Total non-operating income (expense),(665),(294),(300)
Provision for income taxes,(950),"(1,425)",(769)
"Equity-method investment activity,net oftax",(22),(96),(4)
Net income,$ 596,$ 2.371,"$ 3,033"
