"2.600% Notes due on December 5, 2019",$,"1,000"
"1.900% Notes due on August 21,2020",$,"1,000"
"3.300% Notes due on December 5, 2021",$,"1,000"
"2.500% Notes due on November 29, 2022",$,"1,250"
"2.400% Notes due on February 22, 2023",$,"1,000"
"2.800% Notes due on August 22,2024",$,2.000
"3.800% Notes due on December 5,2024",$,"1,250"
"5.200% Notes due on December 3, 2025",$,"1,000"
"3.150% Notes due on August 22, 2027",$,"3,500"
"4.800% Notes due on December 5,2034",$,"1,250"
"3.875% Notes due on August 22, 2037",$,"2,750"
"4.950% Notes due on December 5,2044",$,"1,500"
"4.050% Notes due on August 22, 2047",$,"3,500"
"4.250% Notes due on August 22, 2057",$,"2,250"
