Year Ended December 31,,2015,2016,2017
North America Net sales,"$ 63,708","$ 79,785","$ 106,110",
North America Operating expenses,"62,283","77,424","103,273",
North America Operating income,"$ 1,425","$ 2,361","$ 2,837",
International Net sales,"$ 35,418","$ 43,983","$ 54,297",
International Operating expenses,"36,117","45,266","57,359",
International Operating income (loss),$(699),"$(1,283)","$(3,062)",
AWS Net sales,"$ 7,880","$ 12,219","$ 17,459",
AWS Operating expenses,"6,373","9,111","13,128",
AWS Operating income,"$ 1,507","$ 3,108","$ 4,331",
Consolidated Net sales,"$ 107,006","$ 135,987","$ 177,866",
Consolidated Operating expenses,"104,773","131,801","173,760",
Consolidated Operating income,"2,233","4,186","4,106",
Consolidated Total non-operating income (expense),$(665),$(294),$(300),
Consolidated Provision for income taxes,$(950),"$(1,425)",$(769),
Consolidated Equity-method investment activity, net of tax,$(22),$(96),$(4)
Consolidated Net income,$ 596,"$ 2,371","$ 3,033",
