2013,2013,2013,"YearEndedDecember31,","YearEndedDecember31,","YearEndedDecember31,","YearEndedDecember31,",,,,,,
2013,2013,2013,2013,2014 2015 2016 2017,2014 2015 2016 2017,2014 2015 2016 2017,2014 2015 2016 2017,,,,,
Earnings available for fixed charges:,Earnings available for fixed charges:,,,,,,,,,,,
Income (loss) before income taxes,Income (loss) before income taxes,$ 506$,(111) $,"1,568$","3,892","$ 3,806",,,,,,
"Fixed charges, excluding capitalized interest","Fixed charges, excluding capitalized interest",197,283,547,598,"1,044",,,,,,
,,$ 703,172,"$ 2,115","$ 4,490","$ 4,850",,,,,,
Total earnings available for fixed charges,Total earnings available for fixed charges,$ 703,172,"$ 2,115","$ 4,490","$ 4,850",,,,,,
Total earnings available for fixed charges,Total earnings available for fixed charges,,,,,,,,,,,
Fixed charges:,Fixed charges:,,,,,,,,,,,
,,$ 143,$ 215$,484$,510$,875,,,,,,
Interest and debt expense (1),Interest and debt expense (1),$ 143,$ 215$,484$,510$,875,,,,,,
Assumed interest element included in rent expense,Assumed interest element included in rent expense,57,74,88,114,195,,,,,,
,,$ 200,$ 289,$ 572,$ 624,"$ 1,070",,,,,,
Total fixed charges,Total fixed charges,$ 200,$ 289,$ 572,$ 624,"$ 1,070",,,,,,
Total fixed charges,Total fixed charges,,,,,,,,,,,
Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,,,,,,
Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,Ratio of earnings to fixed charges (2) 3.52 3.70 7.19 4.53,3.52 3.70 7.19 4.53,3.52 3.70 7.19 4.53,3.52 3.70 7.19 4.53,3.52 3.70 7.19 4.53,3.52 3.70 7.19 4.53,3.52 3.70 7.19 4.53
