,"December 31,","December 31,"
,2016,2017
"1.200% Notes due on November 29, 2017","$ 1,000",$
"2.600% Notes due on December 5, 2019 (2)","1,000","1,000"
"1.900% Notes due on August 21, 2020 (3)",,"1,000"
"3.300% Notes due on December 5,2021 (2)","1,000","1,000"
"2.500% Notes due on November 29,2022 (1)","1,250","1,250"
"2.400% Notes due on February 22, 2023 (3)",,"1,000"
"2.800% Notes due on August 22, 2024 (3)",,"2,000"
"3.800% Notes due on December 5, 2024 (2)","1,250","1,250"
"5.200% Notes due on December 3,2025 (4)",,"1,000"
"3.150% Notes due on August 22, 2027 (3)",,"3.,500"
"4.800% Notes due on December 5, 2034 (2)","1,250","1,250"
"3.875% Notes due on August 22, 2037 (3)",,"2,750"
"4.950% Notes due on December 5, 2044 (2)","1,500","1,500"
"4.050% Notes due on August 22, 2047 (3)",,"3,500"
"4.250% Notes due on August 22, 2057 (3)",,"2,250"
Credit Facility,495,592
Other long-term debt,93,100
Total debt,"8,838","24,942"
Less current portion of long-term debt,"(1,056)",(100)
Face value of long-term debt,"$ 7,782","$ 24,842"
