"December 31, 2016",Cost or Amortized Cost,Gross Unrealized Gains,Gross Unrealized Losses,Total Estimated Fair Value
Cash,"$ 6,883",$,$,"$ 6,883"
Level 1 securities:,,,,
Money market funds,"11,940",,,"11,940"
Equity securities,20,31,,51
Level 2 securities:,,,,
Foreign government and agency securities,337,,,337
U.S. government and agency securities,"4,821",2,(7),"4,816"
Corporate debt securities,"2,105",1,(2),"2,104"
Asset-backed securities,355,,(2),353
Other fixed income securities,97,,,97
"$ 26,558",$ 34,$(11),"$ 26,581",
"Less: Restricted cash, cash equivalents, and marketable securities (1)",,,$(600),
"Total cash, cash equivalents, and marketable securities",,,,"$ 25,981"
