Year Ended December 31,2015,2016,2017
Net Sales:,,,
North America,"$ 63,708","$ 79,785","$ 106,110"
International,"35,418","43,983","54,297"
AWS,"7,880","12,219","17,459"
Consolidated,"$ 107,006","$ 135,987","$ 177,866"
Year-over-year Percentage Growth:,,,
North America,25%,25%,33%
International,6,24,23
AWS,70,55,43
Consolidated,20,27,31
Year-over-year Percentage Growth, excluding the effect of foreign exchange rates:,,","
North America,26%,25%,33%
International,21,26,23
AWS,70,55,43
Consolidated,26,28,31
Net sales mix:,,,
North America,60%,59%,60%
International,33,32,30
AWS,7,9,10
Consolidated,100%,100%,100%
