Signature,
/s/Jeffrey P.Bezos Jeffrey P.Bezos,Chairmar
,Officer)
/s/ Brian T. Olsavsky Brian T. Olsavsky,Senior Vi
/s/Shelley L.Reynolds Shelley L.Reynolds,Vice Pres
/s/Tom A. Alberg,Director
Tom A. Alberg,
/s/ John Seely Brown,Director
John Seely Brown,
/s/ Jamie S.Gorelick,
Jamie S. Gorelick,Director
/s/Daniel P.Huttenlocher,
Daniel P.Huttenlocher,Director
/s/ Judith A.McGrath,
Judith A.McGrath,Director
/s/ Jonathan J.Rubinstein Jonathan J.Rubinstein,Director
/s/ Thomas O.Ryder,Director
Thomas O.Ryder,
/s/Patricia Q. Stonesifer,
Patricia Q. Stonesifer,Director
/s/ Wendell P.Weeks,
Wendell P. Weeks,Director
