Cost or Amortized Cost,Gross Unrealized Gains,Gross Unrealized Losses,Total Estimated Fair Value
"$9,982",,,"$9,982"
Level 1 securities:,Money market funds,Equity securities,","
"11,343",,,"11,343"
23,30,,53
Level 2 securities:,Foreign government and agency securities,U.S. government and agency securities,"Corporate debt securities,Asset-backed securities,Other fixed income securities,,"
620,,,620
"4,841",1,-19,"4,823"
"4,265",1,-9,"4,257"
910,,,"-5,905"
340,,,"-2,338"
"$32,324",32,-35,"$32,321"
"Less: Restricted cash, cash equivalents, and marketable securities (1)",,,",$(1,335)"
"Total cash, cash equivalents, and marketable securities",,,",$30,986"
