,"Year Ended December 31,","Year Ended December 31,","Year Ended December 31,"
,2015,2016,2017
Operating expenses:,,,
Cost of sales,"71,651$ $",,"88,265$111,934"
Fulfillment,13.410,"17,619","25,249"
Marketing,"5,254","7,233","10,069"
Technology and content,"12,540","16,085",22.620
General and administrative,"1,747","2,432",3.674
"Other operating expense, net",171,167,214
Total operating expenses,"$ 104,773 $","131,801","$ 173,760"
Year-over-year Percentage Growth:,,,
Cost of sales,14%,23%,27%
Fulfllment,25,31,43
Marketing,21,38,39
Technology and content,35,28,41
General and administrative,13,39,51
"Other operating expense, net",28,(2),28
Percent of Net Sales:,,,
Cost of sales,67.0%,64.9 %,
Fulfillment,12.5,13.0,62.9%
Marketing,4.9,5.3,14.2 5.7
Technology and content,11.7,11.8,12.7
General and administrative,1.6,1.8,2.1
"Other operating expense, net",0.2,0.1,0.1
