December 31,2016,2017,Deferred tax assets (1):,Loss carryforwards U.S. - Federal/States (2)
,$198,$211,,
Loss carryforwards - Foreign (3),1062,2149,,
Accrued liabilities, reserves, & other expenses,968,901
Stock-based compensation,1073,1026,,
Deferred revenue,330,349,,
Assets held for investment,66,35,,
Depreciation & amortization,179,279,,
Other items,171,167,,
Tax credits (4),39,381,,
Total gross deferred tax assets,4086,5498,,
Less valuation allowance (5),(1012),(2538),,
Deferred tax assets, net of valuation allowance,3074,2960,
Deferred tax liabilities:,Depreciation & amortization,(2332),(2568),
Acquisition related intangible assets,(226),(531),,
Other items,(62),(58),,
Net deferred tax assets (liabilities), net of valuation allowance,$454,$(197),
