"Estimated Fair Value as of December 31, 2017",2018,2019,2020,2021,2022,Thereafter,Total
Money market funds,"$ 11,343",,,,,,"$ 11,343,$ 11,343"
Weighted-average interest rate,,0.61%,,,,,"0.61%,,"
Corporate debt securities,"2,717",868,484,155,25,-,"4,249,4,257"
Weighted-average interest rate,1.79%,2.10%,2.27%,2.23%,2.00%,,"1.93%,,"
U.S. government and agency securities,"2,995","1,476",310,54,1,-,"4,836,4,823"
Weighted-average interest rate,1.49%,1.98%,2.06%,2.41%,2.64%,,"1.69%,,"
Asset backed securities,341,273,262,31,-,-,"907,905"
Weighted-average interest rate,1.86%,2.29%,2.24%,2.05%,,,"2.11%,,"
Foreign government and agency securities,405,216,-,-,-,-,"621,620"
Weighted-average interest rate,1.75%,1.93%,,,,,"1.81%,,"
Other securities,159,99,43,31,-,-,"332,338"
Weighted-average interest rate,1.15%,1.84%,2.24%,2.48%,,,"1.62%,,"
$,"$ 17,960","$ 2,932","$ 1,099",$ 271,$ 26,-,"$ 22,288"
Cash equivalent and marketable fixed income securities,,,,,,,",$ 22,286"
