Image Question Where is the attraction located?,Image Question Where is the attraction located?,Image Question Where is the attraction located?,Image Question Where is the attraction located?,Image Question Where is the attraction located?,Image Question Where is the attraction located?,,,,,,,,,,
Ground-truth (M0),Ground-truth (M0),Ground-truth (M0),Abel Tasman National Park is located at the northern tip of the South Island ofNew Zealand between Golden Bay and Tasman Bay,Abel Tasman National Park is located at the northern tip of the South Island ofNew Zealand between Golden Bay and Tasman Bay,Abel Tasman National Park is located at the northern tip of the South Island ofNew Zealand between Golden Bay and Tasman Bay,Abel Tasman National Park is located at the northern tip of the South Island ofNew Zealand between Golden Bay and Tasman Bay,Abel Tasman National Park is located at the northern tip of the South Island ofNew Zealand between Golden Bay and Tasman Bay,Abel Tasman National Park is located at the northern tip of the South Island ofNew Zealand between Golden Bay and Tasman Bay,Abel Tasman National Park is located at the northern tip of the South Island ofNew Zealand between Golden Bay and Tasman Bay,,,,,,
BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),Abel Tasman National Park is located at the northern tip of the South Island ofNew Zealand between Golden Bay and Tasman Bay,,,,,,
BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),california,california,california,california,california,california,california
Mini-GPT4 (M2),Mini-GPT4 (M2),Mini-GPT4 (M2),The image shows a beach with a body of water in the foreground and trees andmountains in the background.,The image shows a beach with a body of water in the foreground and trees andmountains in the background.,The image shows a beach with a body of water in the foreground and trees andmountains in the background.,The image shows a beach with a body of water in the foreground and trees andmountains in the background.,The image shows a beach with a body of water in the foreground and trees andmountains in the background.,The image shows a beach with a body of water in the foreground and trees andmountains in the background.,The image shows a beach with a body of water in the foreground and trees andmountains in the background.,,,,,,
Open-Flamingo (M3),Open-Flamingo (M3),Open-Flamingo (M3),It is located in New Zealand.,It is located in New Zealand.,It is located in New Zealand.,It is located in New Zealand.,It is located in New Zealand.,It is located in New Zealand.,It is located in New Zealand.,,,,,,
Instruct-BLIP (M4)LLaVA (M5),Instruct-BLIP (M4)LLaVA (M5),Instruct-BLIP (M4)LLaVA (M5),beach 1,beach 1,beach 1,beach 1,beach 1,beach 1,beach 1,,,,,,
Instruct-BLIP (M4)LLaVA (M5),Instruct-BLIP (M4)LLaVA (M5),Instruct-BLIP (M4)LLaVA (M5),"The image is located at the beach,which is surrounded by a forest of trees.","The image is located at the beach,which is surrounded by a forest of trees.","The image is located at the beach,which is surrounded by a forest of trees.","The image is located at the beach,which is surrounded by a forest of trees.","The image is located at the beach,which is surrounded by a forest of trees.","The image is located at the beach,which is surrounded by a forest of trees.","The image is located at the beach,which is surrounded by a forest of trees.",,,,,,
SnapNTell (Ours),SnapNTell (Ours),SnapNTell (Ours),(Ours),(Ours),(Ours),(Ours),(Ours),(Ours),(Ours),,,,,,
"(M6) of New Zealand. The location is the Abel Tasman National Park,specificallythe area around Awaroa Beach.","(M6) of New Zealand. The location is the Abel Tasman National Park,specificallythe area around Awaroa Beach.","(M6) of New Zealand. The location is the Abel Tasman National Park,specificallythe area around Awaroa Beach.","(M6) of New Zealand. The location is the Abel Tasman National Park,specificallythe area around Awaroa Beach.","(M6) of New Zealand. The location is the Abel Tasman National Park,specificallythe area around Awaroa Beach.","(M6) of New Zealand. The location is the Abel Tasman National Park,specificallythe area around Awaroa Beach.",,,,,,,,,,
Human Rating M0 = M6 >M3 >M1=M2= M5>M4,Human Rating M0 = M6 >M3 >M1=M2= M5>M4,Human Rating M0 = M6 >M3 >M1=M2= M5>M4,Human Rating M0 = M6 >M3 >M1=M2= M5>M4,Human Rating M0 = M6 >M3 >M1=M2= M5>M4,Human Rating M0 = M6 >M3 >M1=M2= M5>M4,,,,,,,,,,
Image Question What date did it open to the public?,Image Question What date did it open to the public?,Image Question What date did it open to the public?,Image Question What date did it open to the public?,Image Question What date did it open to the public?,Image Question What date did it open to the public?,,,,,,,,,,
"Ground-truth (M0) The Acropolis Museum was inaugurated on June 20,2009 after many years of planning and construction","Ground-truth (M0) The Acropolis Museum was inaugurated on June 20,2009 after many years of planning and construction","Ground-truth (M0) The Acropolis Museum was inaugurated on June 20,2009 after many years of planning and construction","Ground-truth (M0) The Acropolis Museum was inaugurated on June 20,2009 after many years of planning and construction","Ground-truth (M0) The Acropolis Museum was inaugurated on June 20,2009 after many years of planning and construction","Ground-truth (M0) The Acropolis Museum was inaugurated on June 20,2009 after many years of planning and construction",,,,,,,,,,
"Ground-truth (M0) The Acropolis Museum was inaugurated on June 20,2009 after many years of planning and construction","Ground-truth (M0) The Acropolis Museum was inaugurated on June 20,2009 after many years of planning and construction","Ground-truth (M0) The Acropolis Museum was inaugurated on June 20,2009 after many years of planning and construction","Ground-truth (M0) The Acropolis Museum was inaugurated on June 20,2009 after many years of planning and construction","Ground-truth (M0) The Acropolis Museum was inaugurated on June 20,2009 after many years of planning and construction","Ground-truth (M0) The Acropolis Museum was inaugurated on June 20,2009 after many years of planning and construction",BLIP-2 (M1) Mini-GPT4 (M2)Open-Flamingo (M3),BLIP-2 (M1) Mini-GPT4 (M2)Open-Flamingo (M3),BLIP-2 (M1) Mini-GPT4 (M2)Open-Flamingo (M3),BLIP-2 (M1) Mini-GPT4 (M2)Open-Flamingo (M3),BLIP-2 (M1) Mini-GPT4 (M2)Open-Flamingo (M3),BLIP-2 (M1) Mini-GPT4 (M2)Open-Flamingo (M3),,,,
1 January 2009,1 January 2009,1 January 2009,1 January 2009,,,,,,,,,,,,
"The museum opened to the public on January 1, 2018","The museum opened to the public on January 1, 2018","The museum opened to the public on January 1, 2018","The museum opened to the public on January 1, 2018",,,,,,,,,,,,
"The museum opened to the public on December 12,1987.","The museum opened to the public on December 12,1987.","The museum opened to the public on December 12,1987.","The museum opened to the public on December 12,1987.",,,,,,,,,,,,
Instruct-BLIP (M4),Instruct-BLIP (M4),Instruct-BLIP (M4),2007,2007,2007,2007,2007,2007,2007,BLIP-2 (M1) Mini-GPT4 (M2)Open-Flamingo (M3),BLIP-2 (M1) Mini-GPT4 (M2)Open-Flamingo (M3),,,,
LLaVA (M5),LLaVA (M5),LLaVA (M5),"The museum opened to the public on April 13,2019.","The museum opened to the public on April 13,2019.","The museum opened to the public on April 13,2019.","The museum opened to the public on April 13,2019.","The museum opened to the public on April 13,2019.","The museum opened to the public on April 13,2019.","The museum opened to the public on April 13,2019.",BLIP-2 (M1) Mini-GPT4 (M2)Open-Flamingo (M3),BLIP-2 (M1) Mini-GPT4 (M2)Open-Flamingo (M3),,,,
SnapNTell (Ours),SnapNTell (Ours),SnapNTell (Ours),"The Acropolis Museum opened to the public on June 20, 2009.","The Acropolis Museum opened to the public on June 20, 2009.","The Acropolis Museum opened to the public on June 20, 2009.","The Acropolis Museum opened to the public on June 20, 2009.","The Acropolis Museum opened to the public on June 20, 2009.","The Acropolis Museum opened to the public on June 20, 2009.","The Acropolis Museum opened to the public on June 20, 2009.",BLIP-2 (M1) Mini-GPT4 (M2)Open-Flamingo (M3),BLIP-2 (M1) Mini-GPT4 (M2)Open-Flamingo (M3),,,,
(M6),(M6),(M6),(M6),(M6),(M6),(M6),(M6),(M6),"The Acropolis Museum opened to the public on June 20, 2009.",,,,,,
Human Rating M0=M6 >M1 >M2=M3=M4=M5,Human Rating M0=M6 >M1 >M2=M3=M4=M5,Human Rating M0=M6 >M1 >M2=M3=M4=M5,Human Rating M0=M6 >M1 >M2=M3=M4=M5,Human Rating M0=M6 >M1 >M2=M3=M4=M5,Human Rating M0=M6 >M1 >M2=M3=M4=M5,"The Acropolis Museum opened to the public on June 20, 2009.","The Acropolis Museum opened to the public on June 20, 2009.","The Acropolis Museum opened to the public on June 20, 2009.",,,,,,,
Image Question What is the name of the view in this picture?,Image Question What is the name of the view in this picture?,Image Question What is the name of the view in this picture?,Image Question What is the name of the view in this picture?,Image Question What is the name of the view in this picture?,Image Question What is the name of the view in this picture?,,,,,,,,,,
,Ground-truth (M0)BLIP-2 (M1)Mini-GPT4 (M2),Ground-truth (M0)BLIP-2 (M1)Mini-GPT4 (M2),Ground-truth (M0)BLIP-2 (M1)Mini-GPT4 (M2),Ground-truth (M0)BLIP-2 (M1)Mini-GPT4 (M2),"The Acropolis Museum opened to the public on June 20, 2009.",Lake Titicaca is a large freshwater lake located in the Andes Mountains spanningthe borders of both Bolivia and Peru,,,,,,,,,
,Ground-truth (M0)BLIP-2 (M1)Mini-GPT4 (M2),Ground-truth (M0)BLIP-2 (M1)Mini-GPT4 (M2),Ground-truth (M0)BLIP-2 (M1)Mini-GPT4 (M2),Ground-truth (M0)BLIP-2 (M1)Mini-GPT4 (M2),a town in Peru,,,,,,,,,,
,Ground-truth (M0)BLIP-2 (M1)Mini-GPT4 (M2),Ground-truth (M0)BLIP-2 (M1)Mini-GPT4 (M2),Ground-truth (M0)BLIP-2 (M1)Mini-GPT4 (M2),Ground-truth (M0)BLIP-2 (M1)Mini-GPT4 (M2),Mini-GPT4 (M2),Mini-GPT4 (M2),It is a small town with colorful buildings and boats in the water.,,,,,,,,
,Open-Flamingo (M3),Open-Flamingo (M3),Open-Flamingo (M3),Open-Flamingo (M3),This is the city of Puerto Natales in Chile.,,,,,,,,,,
,Instruct-BLIP (M4),Instruct-BLIP (M4),Instruct-BLIP (M4),Instruct-BLIP (M4),harbor 2,,,,,,,,,,
,LLaVA (M5),LLaVA (M5),LLaVA (M5),LLaVA (M5)SnapNTell (Ours)(M6),LLaVA (M5)SnapNTell (Ours)(M6),"It is a cityscape with boats in the water, located near a mountainous area.",,,,,,,,,
,,,It's Lake Titicaca in the Andes Mountains.,LLaVA (M5)SnapNTell (Ours)(M6),LLaVA (M5)SnapNTell (Ours)(M6),,,,,,,,,,
,,Human Rating,Human Rating,Human Rating,M0 = M6>M1 > M3 >M2 = M5 > M4,,,,,,,,,,
Image Question What is the age of the building now?,Image Question What is the age of the building now?,Image Question What is the age of the building now?,Image Question What is the age of the building now?,Image Question What is the age of the building now?,Image Question What is the age of the building now?,,,,,,,,,,
,Ground-truth (M0),Ground-truth (M0),Ground-truth (M0),Ground-truth (M0),The Chapel Bridge is over 7OO years old having been built in 1333,,,,,,,,,,
,BLIP-2 (M1),BLIP-2 (M1),,,,,,,,,,,,,
,BLIP-2 (M1),BLIP-2 (M1),,,BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),,,,,,,
,BLIP-2 (M1),BLIP-2 (M1),,,BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),16th century,,,,,,
,The age of the building in the image is not known.,,,,,,,,,,,,,,
,Open-Flamingo (M3),Open-Flamingo (M3),Open-Flamingo (M3),Open-Flamingo (M3),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),BLIP-2 (M1)Mini-GPT4 (M2),The age of the bridge is over 100 years old.,,,,,,
,Instruct-BLIP (M4),Instruct-BLIP (M4),Instruct-BLIP (M4),Instruct-BLIP (M4),old,,,,,,,,,,
,LLaVA (M5),LLaVA (M5),LLaVA (M5),LLaVA (M5),"The age of the building in the image is not specified. However, it is describedas an old building,which suggests that it could be quite old or historic.",,,,,,,,,,
,,,,,"The age of the building in the image is not specified. However, it is describedas an old building,which suggests that it could be quite old or historic.",,,,,,,,,,
,SnapNTell (Ours),SnapNTell (Ours),SnapNTell (Ours),SnapNTell (Ours),"The Chapel Bridge (Chapel Bridge or Kapellbrucke) in Lucerne, Switzerland, is a medieval wooden bridge that dates back to the 14th century. It was builtin 1333 and is one of the oldest covered bridges in Europe,which is over 700years old now.",,,,,,,,,,
,(M6),(M6),(M6),(M6),"The Chapel Bridge (Chapel Bridge or Kapellbrucke) in Lucerne, Switzerland, is a medieval wooden bridge that dates back to the 14th century. It was builtin 1333 and is one of the oldest covered bridges in Europe,which is over 700years old now.",,,,,,,,,,
,Human Rating M6 >= M0 >M1= M2=M3=M4= M5,Human Rating M6 >= M0 >M1= M2=M3=M4= M5,Human Rating M6 >= M0 >M1= M2=M3=M4= M5,Human Rating M6 >= M0 >M1= M2=M3=M4= M5,Human Rating M6 >= M0 >M1= M2=M3=M4= M5,,,,,,,,,,
