Main category,Original Entity,1st Wiki filtering,2nd Google filtering,3rd Wiki filtering
landmark,1595,1000,899,753
painting,1057,367,358,288
sculpture,300,164,164,134
food,883,338,337,271
fruit,361,236,233,180
vegetable,389,290,286,214
mammal,778,633,619,434
hibian,211,148,139,124
insect,366,179,176,145
fish,1089,1054,987,722
bird,739,546,545,480
reptile,279,232,231,210
celebrity,1514,1484,1466,732
instrument,477,375,368,277
plant,606,601,593,489
electronics,432,354,342,269
tool,801,213,209,150
transportation,334,296,290,227
sport,694,478,464,395
book,1030,826,777,645
household,475,319,299,221
car,500,320,320,208
Summary,22,14910,10453,"10102,7568"
