Image,Question,Ground-truth (M0),BLIP-2 (M1)
Where is the attraction located?,Abel Tasman National Park is located at the northern tip of the South Island of New Zealand between Golden Bay and Tasman Bay,california,
Mini-GPT4 (M2),The image shows a beach with a body of water in the foreground and trees and mountains in the background.,,
Open-Flamingo (M3),It is located in New Zealand.,,
Instruct-BLIP (M4),beach 1,,
LLaVA (M5),"The image is located at the beach, which is surrounded by a forest of trees.",,
SnapNTell (Ours) (M6),"The image is not located in the Republic of Altai, but rather in the South Island of New Zealand. The location is the Abel Tasman National Park, specifically the area around Awaroa Beach.",,
Human Rating,M0 = M6 > M3 > M1 = M2 = M5 > M4,,
Image,Question,Ground-truth (M0),BLIP-2 (M1)
What date did it open to the public?,"The Acropolis Museum was inaugurated on June 20, 2009 after many years of planning and construction",1 January 2009,
Mini-GPT4 (M2),"The museum opened to the public on January 1, 2018",,
Open-Flamingo (M3),"The museum opened to the public on December 12, 1987.",,
Instruct-BLIP (M4),2007,,
LLaVA (M5),"The museum opened to the public on April 13, 2019.",,
SnapNTell (Ours) (M6),"The Acropolis Museum opened to the public on June 20, 2009.",,
Human Rating,M0 = M6 > M1 > M2 = M3 = M4 = M5,,
