```csv
"Mattox (1)","Amberjack (2)","Mars","Bengal","Explorer (3)","Colonial (3)","Poseidon (4)","Other (5)","For the Year Ended December 31,","2020","2019","2018"
"Mattox (1)",45,"$","$","$","$","$","$","$","45","$","$"
"Amberjack (2)",102,"125","80","$","$","$","$","$","102","125","80"
"Mars",114,"126","108","$","$","$","$","$","114","126","108"
"Bengal",18,"24","21","$","$","$","$","$","18","24","21"
"Explorer (3)",44,"41","$","$","$","$","$","$","44","41","$"
"Colonial (3)",75,"40","$","$","$","$","$","$","75","40","$"
"Poseidon (4)",,"$","$","$","$","$","$","$","$","$","$"
"Other (5)",19,"17","20","$","$","$","$","$","19","17","20"
"","$","$","$","$","$","$","$","$","417","373","235"
```
