DATE,MEETING TOPIC,ATTENDEES
06/30/15,SWOT sent out to MQA management and employees,MQA managementand employees
07/15/15,MQA Employee and management SWOT result analysis,Strategic Planning Services Team
07/23/15,Strategic Planning Retreat: discussed MQA's strategic focusaligned with DOH's strategic plan,Executive Management Team
07/24/15,Strategic plan draft development for five years,"Executive Management Team,Strategic Planning Services Team"
07/24/15,"Strength, weaknesses, opportunities and threats (SWOT)analysis.Developed SWOT surveys",Executive ManagementTeamStrategic Planning Services Team
08/12/15,SWOT survey sent out to MQA management andboard members,"ExecutiveManagementTeam,MQA Management, Strategic PlanningServices Team,External Partners"
09/02/15,External SWOT survey results analysis.,Strategic Planning Services Team
09/23/15,2nd Annual Healthiest Weight Liaison meeting,"ExecutiveManagementTeam,MQA Management, Strategic PlanningServices Team,External Partners"
09/24/15,Annual Board Chairs/ Vice Chairs Long-rangePlanning Meeting,See Appendix A
09/30/15,EMT Strategic Plan Development,"Executive Management Team,MQA Management, Strategic PlanningServicesTeam"
11/12/15,Discussed new strategic plan format andassigned strategy managers,"Executive Management Team,MQA Management, Strategic PlanningServices Team"
