Fiscal Year,Strategic Goal(s) Supported,Measurement Area,Measurement Category
2005,Strengthening Consular and Management Capabilities,Customer Results,Service Accessibility
2005,Strengthening Consular and Management Capabilities,Customer Results,Timeliness and Responsiveness
2005,Strengthening Consular and Management Capabilities,Mission and Business Results,Human Resource Management
2005,Strengthening Consular and Management Capabilities,Processes and Activities,Cycle Time and Resource Time
2005,Strengthening Consular and Management Capabilities,Processes and Activities,Quality
2005,Strengthening Consular and Management Capabilities,Technology,Reliability and Availability
2006,Strengthening Consular and Management Capabilities,Customer Results,Service Accessibility
2006,Strengthening Consular and Management Capabilities,Customer Results,Timeliness and Responsiveness
2006,Strengthening Consular and Management Capabilities,Mission and Business Results,Human Resource Management
2006,Strengthening Consular and Management Capabilities,Processes and Activities,Cycle Time and Resource Time
2006,Strengthening Consular and Management Capabilities,Processes and Activities,Quality
2006,Strengthening Consular and Management Capabilities,Technology,Reliability and Availability
2007,Strengthening Consular and Management Capabilities,Customer Results,Customer Benefit
