Fiscal Year,Strategic Goal(s) Supported,Measurement Area,Measurement Category,Measurement Grouping,Measurement Indicator,Baseline,Target,Actual Results
2007,Strengthening Consular and Management Capabilities,Customer Results,Service Accessibility,Availability,Number of Employee self-service functions available under IPMS.,8 Employee self-service functions,Increase to 9,Increased to 9
2007,Strengthening Consular and Management Capabilities,Customer Results,Timeliness and Responsiveness,Response Time,HR Help Desk response time,45 minutes,Decrease to 40 minutes,Decreased to 40 minutes
2007,Strengthening Consular and Management Capabilities,Mission and Business Results,Human Resource Management,Organization and Position Management,Agency ranking score on DoS CPDF submissions (score provided by OPM),96 - CPDF agency ranking score,Maintain at 96 (OPM passing score),OPM no longer provides actual results data.
2007,Strengthening Consular and Management Capabilities,Processes and Activities,Cycle Time and Resource Time,Cycle Time,Timeliness of DoS CPDF Dynamics records (percentage provided by OPM),90% transaction timeliness,Maintain at 90%,OPM no longer provides actual results data.
2007,Strengthening Consular and Management Capabilities,Processes and Activities,Quality,Errors,DoS percentage of CPDF dynamics records without errors (actual percentage provided by OPM),95% dynamics records without errors,Maintain at 95% (OPM expected score),OPM no longer provides actual results data.
2007,Strengthening Consular and Management Capabilities,Technology,Reliability and Availability,Availability,Number of HRM services under the IPMS program.,68 HRM services,Increase to 69.,Increased to 69.
2008,Strengthening Consular and Management Capabilities,Customer Results,Customer Benefit,Customer Satisfaction,Periodically survey IPMS users to assess the efficiency and usability of program applications,85% IPMS user satisfaction,Maintain at 85%,Results will be collected after the end of the fiscal year.
2008,Strengthening Consular and Management Capabilities,Customer Results,Service Accessibility,Availability,Number of Employee self-service functions available under IPMS,9 Employee self-service functions,Increase to 10,Results will be collected after the end of the fiscal year.
2008,Strengthening Consular and Management Capabilities,Customer Results,Timeliness and Responsiveness,Response Time,HR Help Desk resolution time for ISO 20000 Severity 4 incidents.,40 minutes,Decrease to 35 minutes,Results will be collected after the end of the fiscal year.
2008,Strengthening Consular and Management Capabilities,Customer Results,Timeliness and Responsiveness,Response Time,Percentage of critical defects reworked within time estimated to complete,80%,Maintain at 80%,Results will be collected after the end of the fiscal year.
2008,Strengthening Consular and Management Capabilities,Customer Results,Timeliness and Responsiveness,Response Time,Percentage of on-time (within 30 days) PCS transfers,85% on-time,Maintain at 85%,Results will be collected after the end of the fiscal year.
2008,Strengthening Consular and Management Capabilities,Mission and Business Results,Human Resource Management,Employee Performance Management,Percentage of performance ratings complete prior to end of annual ratings cycle,70% complete,Increase to 72%,Results will be collected after the end of the fiscal year.
2008,Strengthening Consular and Management Capabilities,Processes and Activities,Cycle Time and Resource Time,Cycle Time,Timeliness of DoS CPDF Dynamics records,90% transaction timeliness,Maintain at 90%,Results will be collected after the end of the fiscal year.
2008,Strengthening Consular and Management Capabilities,Processes and Activities,Cycle Time and Resource Time,Timeliness,Percentage of on-time (within 30 days) PCS transfers,85% on-time,Maintain at 85%,Results will be collected after the end of the fiscal year.
2008,Strengthening Consular and Management Capabilities,Processes and Activities,Quality,Errors,Percentage of DoS CPDF Dynamics records without errors,95% dynamics records without errors,Maintain at 95%,Results will be collected after the end of the fiscal year.
2008,Strengthening Consular and Management Capabilities,Technology,Efficiency,Improvement,Number of external systems sharing IPMS,1 system,Increase to 3 systems,Results will be collected after the end of the fiscal year.
