FEA SRM Component (a),FEA TRM Service Area,FEA TRM Service Category,FEA TRM Service Standard,"Service Specification (b) (i.e., vendor and product name)"
,,,,
Infrastructure,,,",,""""",
System Resource Monitoring,Service Platform and Infrastructure,Hardware / Infrastructure,Video Conferencing,Hoppman Communications Receiver
Software Development,Service Platform and Infrastructure,Software Engineering,Integrated Development Environment,Microsoft Visual Studio
Software Development,Service Platform and Infrastructure,Software Engineering,Modeling,Unified Modeling Language (UML)
Software Development,Service Platform and Infrastructure,Software Engineering,Software Configuration Management,Defect Tracking
Software Development,Service Platform and Infrastructure,Software Engineering,Software Configuration Management,Deployment Management
System Resource Monitoring,Service Platform and Infrastructure,Software Engineering,Software Configuration Management,Microsoft Project Professional/Project Web Access Task Management
System Resource Monitoring,Service Platform and Infrastructure,Software Engineering,Software Configuration Management,MKS Change Management
System Resource Monitoring,Service Platform and Infrastructure,Software Engineering,Software Configuration Management,MKS Requirements Management and Traceability
System Resource Monitoring,Service Platform and Infrastructure,Software Engineering,Software Configuration Management,MKS Version Management
System Resource Monitoring,Service Platform and Infrastructure,Software Engineering,Software Configuration Management,MKS Visual Source Safe Defect Tracking
Instrumentation and Testing,Service Platform and Infrastructure,Software Engineering,Test Management,Mercury Interactive Functional Testing
Instrumentation and Testing,Service Platform and Infrastructure,Software Engineering,Test Management,Mercury Interactive Installation Testing
Instrumentation and Testing,Service Platform and Infrastructure,Software Engineering,Test Management,Mercury Interactive Load/Stress/Volume Testing
Instrumentation and Testing,Service Platform and Infrastructure,Software Engineering,Test Management,Mercury Interactive Security and Access Control Testing
Instrumentation and Testing,Service Platform and Infrastructure,Software Engineering,Test Management,Oracle Microsoft SQL Server MSSQL
Instrumentation and Testing,Service Platform and Infrastructure,Software Engineering,Test Management,Usability Testing (508 Testing)
