TdeostatieeedServiceSpecifications supporting this IT investment.,TdeostatieeedServiceSpecifications supporting this IT investment.,TdeostatieeedServiceSpecifications supporting this IT investment.,TdeostatieeedServiceSpecifications supporting this IT investment.,TdeostatieeedServiceSpecifications supporting this IT investment.
FEA SRM Component (a),FEA TRM Service Area,FEA TRM Service Category,FEA TRM Service Standard,"Service Specification (b)(i.e., vendor and productname)"
Information Sharing,Service Accessand Delivery,Service Requirements,Hosting,Internal (withinAgency)
Identification andAuthentication,ServiceAccessand Delivery,Service Requirements,Legislative/Compliance,Privacy:Liberty Alliance
Identification andAuthentication,Service Accessand Delivery,Service Requirements,Legislative/Compliance,Section 508
Identification andAuthentication,Service Access and Delivery,Service Requirements,Legislative/Compliance,Security
Identification andAuthentication,Service Accessand Delivery,Service Requirements,Legislative/Compliance,Web Content Accessibility
Information Sharing,Service Access and Delivery,Service Transport,Service Transport,Electronic Mail (E-mail)Microsoft Exchange Server
Information Sharing,ServiceAccessand Delivery,ServiceTransport,ServiceTransport,Internet Protocol (IP)
Information Sharing,Service Access and Delivery,Service Transport,Service Transport,Transport Control Protocol(TCP）
Information Sharing,Service Interface andIntegration,Integration,Enterprise ApplicationIntegration,Biztalk Application Connectivity
Instrumentation and Testing,Service InterfaceandIntegration,Integration,Enterprise ApplicationIntegration,BizTalk Business ProcessManagement
Instrumentation and Testing,Service InterfaceandIntegration,Integration,Enterprise ApplicationIntegration,Transformationand Formatting
Instrumentation and Testing,Service InterfaceandIntegration,Integration,Middleware,Database Access: ISQL/w
Instrumentation and Testing,Service Interface andIntegration,Integration,Middleware,Object Request Broker (ORB):Common Object RequestBroker Architecture(CORBA)
Instrumentation and Testing,Service InterfaceandIntegration,Interface,Service Description /Interface,Application Program Interface(API)/Protocol
Instrumentation and Testing,Service InterfaceandIntegration,Interoperability,Data Format /Classification,eXtensible Markup Language(XML)/Protocol
Software Development,Service InterfaceandIntegration,Interoperability,Data Transformation,eXtensible StylesheetLanguageTransform (XSLT)
Software Development,Service Interface andIntegration,Interoperability,Data Types /Validation,XML Schema
Instrumentation and Testing,Service PlatformandInfrastructure,Database/Storage,Database,Oracle database
Instrumentationand Testing,Service Platform andInfrastructure,Database /Storage,Storage,EMC/Compaq Storage AreaNetwork (SAN)
Information Sharing,Service PlatformandInfrastructure,Delivery Servers,Media Servers,Microsoft Windows MediaServices
Information Sharing,Service PlatformandInfrastructure,Hardware/Infrastructure,Embedded Technology Devices,Hard Disk Drive
Information Sharing,Service Platform andInfrastructure,Hardware/Infrastructure,Embedded Technology Devices,Microprocessor
Personnel Administration,Service PlatformandInfrastructure,Hardware/Infrastructure,Embedded Technology Devices,Random Access Memory (RAM)
Personnel Administration,Service PlatformandInfrastructure,Hardware/Infrastructure,Embedded Technology Devices,Redundant Array ofIndependent Disks (RAID)
Personnel Administration,Service Platform andInfrastructure,Hardware/Infrastructure,Local Area Network (LAN),Ethernet
Information Sharing,Service PlatformandInfrastructure,Hardware/Infrastructure,Local Area Network (LAN),Virtual LAN (VLAN)
Personnel Administration,Service PlatformandInfrastructure,Hardware/Infrastructure,Network Devices /Standards,Digital Subscriber Line (DSL)
Personnel Administration,Service PlatformandInfrastructure,Hardware/Infrastructure,Network Devices/Standards,Hub
Personnel Administration,Service PlatformandInfrastructure,Hardware/Infrastructure,Network Devices /Standards,Network Interface Card (NIC)
Personnel Administration,Service PlatformandInfrastructure,Hardware/Infrastructure,Network Devices/Standards,Router
Personnel Administration,Service Platform andInfrastructure,Hardware/Infrastructure,Network Devices/Standards,Switch
Personnel Administration,Service PlatformandInfrastructure,Hardware/ Infrastructure,Network Devices/Standards,T1/T3
Personnel Administration,Service Platform andInfrastructure,Hardware/Infrastructure,Network Devices/Standards,Webcullis
Personnel Administration,Service PlatformandInfrastructure,Hardware/Infrastructure,Peripherals,Printer
Personnel Administration,Service PlatformandInfrastructure,Hardware/Infrastructure,Peripherals,Scanner
Information Sharing,Service Platform andInfrastructure,Hardware/ Infrastructure,Servers/Computers,Dell/Compaq Enterprise Server
Personnel Administration,Service Platformand,Hardware/Infrastructure,Video Conferencing,CODEC
