FEA SRM Component (a),FEA TRM Service Area,FEA TRM Service Category,FEA TRM Service Standard,"Service Specification (b) (i.e., vendor and product name)"
Software Development,Component Framework,Business Logic,Platform Dependent,Microsoft VB Script
Software Development,Component Framework,Business Logic,Platform Dependent,Microsoft Visual Basic
Software Development,Component Framework,Business Logic,Platform Independent,"Microsoft C,C++"
Information Sharing,Component Framework,Data Management,Database Connectivity,Microsoft Oracle Open Database Connectivity (ODBC)
Information Sharing,Component Framework,Data Management,Reporting and Analysis,Microsoft Online Analytical Processing (OLAP)
Information Sharing,Component Framework,Data Management,Reporting and Analysis,XML for Analysis
Software Development,Component Framework,Presentation / Interface,Content Rendering,ColdFusion Cascading Style Sheets (CSS)
Software Development,Component Framework,Presentation / Interface,Content Rendering,Dynamic HTML (DHTML)
Instrumentation and Testing,Component Framework,Presentation / Interface,Dynamic Server-Side Display,Hyper Text Markup Language (HTML)
Information Sharing,Component Framework,Presentation / Interface,Dynamic Server-Side Display,Microsoft Active Server Pages (ASP)
Information Sharing,Component Framework,Presentation / Interface,Dynamic Server-Side Display,Microsoft Active Server Pages .Net (ASP.Net)
Identification and Authentication,Component Framework,Security,Certificates / Digital Signatures,Digital Certificate Authentication
Identification and Authentication,Component Framework,Security,Certificates / Digital Signatures,Secure Sockets Layer (SSL)
Information Sharing,Service Access and Delivery,Access Channels,Other Electronic Channels,System to System
