PenonanceTn,,,,,,,,
Fiscal Year,StrategicGoal(s)Supported,Measurement Area,MeasurementCategory,MeasurementGrouping,MeasurementIndicator,Baseline,Target,Actual Results
2007,StrengtheningConsularandManagementCapabilities,CustomerResults,ServiceAccessibility,Availability,Number ofEmployee Self-service functionsavailable underIPMS.,8 Employee self-service functions,Increase to9,Increased to9
2007,StrengtheningConsular andManagementCapabilities,CustomerResults,TimelinessandResponsiveness,Response Time,HR Help Deskresponse time,45minutes,Decrease to 40minutes,Decreased to40minutes
2007,StrengtheningConsular andManagementCapabilities,Mission andBusiness Results,Human ResourceManagement,Organization andPositionManagement,Agency rankingscore on DoSCPDFsubmissions(score providedbyOPM),96-CPDFagency rankingscore,Maintain at 96(OPM passingscore),OPM no longerprovides actualresults data.
2007,StrengtheningConsular andManagementCapabilities,Processes andActivities,Cycle Time andResource Time,Cycle Time,Timeliness ofDoS CPDFDynamicsrecords(percentageprovided byOPM),90% transactiontimeliness,Maintain at90%,OPMno longerprovidesactualresults data.
2007,StrengtheningConsular andManagementCapabilities,Processes andActivities,Quality,Errors,DoSpercentageofCPDFdynamicsrecords withouterrors (actualpercentageprovided byOPM）,95% dynamicsrecords withouterrors,Maintain at 95%(OPM expectedscore),OPM no longerprovidesactualresultsdata.
2007,StrengtheningConsular andManagementCapabilities,Technology,Reliability andAvailability,Availability,Number of HRMservices underthe IPMSprogram.,68 HRM services,Increase to 69.,Increased to 69.
2008,StrengtheningConsular andManagementCapabilities,CustomerResults,CustomerBenefit,CustomerSatisfaction,Periodicallysurvey IPMSusers to assesstheefficiencyand usability ofprogramapplications,85%IPMSusersatisfaction,Maintain at 85%,Results will becollected afterthe end of thefiscal year.
2008,StrengtheningConsularandManagementCapabilities,CustomerResults,ServiceAccessibility,Availability,NumberofEmployee Self-service functionsavailableunderIPMS,9 Employee self-service functions,Increase to10,Results will becollectedafterthe end of thefiscal year.
2008,StrengtheningConsular andManagementCapabilities,CustomerResults,TimelinessandResponsiveness,Response Time,HR Help Deskresponse time,40 minutes,Decrease to 35minutes,Results will becollectedafterthe end of thefiscal year.
2008,StrengtheningConsular andManagementCapabilities,CustomerResults,Timeliness andResponsiveness,Response Time,HR Help Deskresolution timefor ISO 20000Severity4incidents.,80% incidentsmeetingresolution timeor 48 hours,Maintain at 80%,Results will becollected afterthe end of thefiscal year.
2008,StrengtheningConsular andManagementCapabilities,CustomerResults,Timeliness andResponsiveness,Response Time,Percentage ofcritical defectsreworked withintimeestimatedtocomplete,80%,Maintain at 80%,Results will becollected afterthe end of thefiscal year.
2008,StrengtheningConsular andManagementCapabilities,MissionandBusiness Results,Human ResourceManagement,EmployeePerformanceManagement,Percentage ofperformanceratingscompleteprior to end ofannual ratingscycle,70% complete,Increase to 72%,Results will becollectedafterthe end of thefiscal year.
2008,StrengtheningConsularandManagementCapabilities,ProcessesandActivities,Cycle Time andResource Time,Cycle Time,Timeliness ofDoSCPDFDynamicsrecords,90% transactiontimeliness,Maintain at 90%,Results will becollectedafterthe end of thefiscal year.
2008,StrengtheningConsular andManagementCapabilities,Processes andActivities,Cycle Time andResource Time,Timeliness,Percentage ofon-time (within30 days) PCStransfers,85%on-time,Maintainat 85%,Results will becollectedafterthe end of thefiscal year.
2008,StrengtheningConsularandManagementCapabilities,Processes andActivities,Quality,Errors,Percentage ofDoSCPDFDynamicsrecords withouterrors,95% dynamicsrecords withouterrors,Maintain at 95%,Results will becollectedafterthe end of thefiscal year.
2008,StrengtheningConsularandManagement,Technology,Efficiency,Improvement,Number ofexternal systemssharing IPMS,1 system,Increase to 3systems,Results will becollected afterthe end of the
