"Total for all 65+, (n=1,526)",,18%
Gender,Male (n=612),22%
Gender,Female (n=914),15%
Age,65-69 (n=531),29%
Age,70-74 (n=401),21%
Age,75-79 (n=244),10%
Age,80+ (n=350),5%
Education,High school grad or less (n=598),10%
Education,Some college (n=381),19%
Education,College graduate (n=537),35%
Household Income,"<$30,000 (n=467)",8%
Household Income,"$30,000-$49,999 (n=282)",15%
Household Income,"$50,000-$74,999 (n=192)",28%
Household Income,"$75,000+ (n=274)",42%
Community Type,Urban (n=413),20%
Community Type,Suburban (n=758),20%
Community Type,Rural (n=355),12%
