Total for all 65+,n=1,526,18%
Gender,Male,n=612,20
Gender,Female,n=914,17
Age,65-69,n=531,"23""d"
Age,70-74,n=401,"18""d"
Age,75-79,n=244,"20""d"
Age,80+,n=350,9
Education,High school grad or less,n=598,11
Education,Some college,n=381,"19""a"
Education,College graduate,n=537,"31""ab"
Household Income,<=$30,000,"n=467,8"
Household Income,$30,000-$49,"999,n=282,16""a"
Household Income,$50,000-$74,"999,n=192,28""ab"
Household Income,$75,000+,"n=274,39""abc"
Community Type,Urban,n=413,"20""c"
Community Type,Suburban,n=758,19
Community Type,Rural,n=355,14
