Total for all 65+,"n=1,526",,18%
Gender,Male,n=612,17
Gender,Female,n=914,19
Age,65-69,n=531,23d a
Age,70-74,n=401,19d b
Age,75-79,n=244,18d c
Age,80+,,n=350
Education,High school grad or less,n=598,12 a
Education,Some college,n=381,19a b
Education,College graduate,n=537,30ab c
Household Income,"<$30,000",,"n=467, 8 a"
Household Income,"$30,000-$49,999",,"n=282, 17a b"
Household Income,"$50,000-$74,999",,"n=192, 33ab c"
Household Income,"$75,000+",,"n=274, 33ab"
Community Type,Urban,n=413,19 a
Community Type,Suburban,n=758,19 b
Community Type,Rural,n=355,15 c
