"Landline 116,709","Cell 61,496",Total Numbers Dialed
"5,165","1,052",Non-residential
"4,316 30",225,Computer/Fax
"70,002",0,Cell phone Other not working
"5,084","25,290",Additional projected not working
"32,113",497,Working numbers
27.5%,"34,432 56.0%",Working Rate
"1,695",166,No Answer / Busy
"8,341","6,795",Voice Mail
116,50,Other Non-Contact
"21,961","27,421",Contacted numbers
68.4%,79.6%,Contact Rate
843,"3,543",Callback
"17,666","19,219",Refusal
"3,452",4659,Cooperating numbers
15.7%,17.0%,Cooperation Rate
204,,Language Barrier
0,"228 1,250",Child's cell phone
"3,248","3,181",Eligible numbers
94.1%,68.3%,Eligibility Rate
"126 3,122",78,Break-off
96.1%,"3,103 97.5%",Completes Completion Rate
10.3%,13.2%,Response Rate
