Total for all 65+,"n=1,526",,59%
Gender,Male,n=612,65%
Gender,Female,n=914,55%
Age,65-69,n=531,74%
Age,70-74,n=401,68%
Age,75-79,n=244,47%
Age,80+,n=350,37%
Education,High school grad or less,n=598,40%
Education,Some college,n=381,69%
Education,College graduate,n=537,87%
Household Income,"<$30,000",n=467,39%
Household Income,"$30,000-$49,999",n=282,63%
Household Income,"$50,000-$74,999",n=192,86%
Household Income,"$75,000+",n=274,90%
Community Type,Urban,n=413,60%
Community Type,Suburban,n=758,63%
Community Type,Rural,n=355,50%
