```csv
"Exhibit Number","Description"
"3.1","Articles of Incorporation of the Company filed with the Secretary of State of Nevada on December 15, 2011. Incorporated by reference to Exhibit 3.1 to the Registration Statement on Form S-1 filed by the Company on April 6, 2012."
"3.2","Certificate of Amendment to the Articles of Incorporation of the Company filed with the Secretary of State of the State of Nevada on December 18, 2012. Incorporated by reference to Exhibit 3.1 to the Company’s Current Report on Form 8-K filed with the Commission on December 26, 2012."
"3.3","Certificate of Designations, Preferences and Rights of Series A Convertible Preferred Stock filed with the Secretary of State of the State of Nevada on December 18, 2012. Incorporated by reference to Company’s Current Report on Form 8-K filed with the Commission on December 26, 2012."
"3.4","Certificate of Amendment to the Articles of Incorporation of the Company filed with the Secretary of State of the State of Nevada on December 24, 2012. Incorporated by reference to Exhibit 3.1 to the Company’s Current Report on Form 8-K filed with the Commission on January 28, 2013."
"3.9","Amended and Restated By-laws of the Company. Incorporated by reference to Exhibit 3.1 to the Company’s Current Report on Form 8-K filed with the Commission on December 11, 2015."
"3.10","Certificate of Amendment to the Articles of Incorporation of the Company filed with the Secretary of State of the State of Nevada on August 27, 2019. Incorporated by reference to Exhibit 3.11 to the Company’s Annual Report on Form 10-K filed with the Commission on April 14, 2020."
"3.11","Certificate of Amendment to the Articles of Incorporation of the Company filed with the Secretary of State of the State of Nevada on July 16, 2020.*"
"4.1","Senior Secured Convertible Promissory Note of the Company dated January 8, 2014 in the principal amount of $244,000 to the order of Heather U. Baines and Lloyd McAdams AB Living Trust dated 8/1/2001. Incorporated by reference to Exhibit 4.4 to the 2013 10-K/A-1."
"4.2","Warrant to Purchase 488,000 Shares of the Company’s Common Stock Issued to Heather U. Baines and Lloyd McAdams AB Living Trust dated 8/1/2001on January 8, 2014. Incorporated by reference to Exhibit 4.8 to the 2013 10K/A-1."
"4.3","Form of Convertible Redeemable Promissory from the Company to GW Holdings Group, LLC.. Incorporated by reference to Exhibit 4.31 to the Annual Report on Form 10-K for the fiscal year ended December 31, 2016."
"10.1","Employment Agreement between the Company and Marc Fogassa. Incorporated by reference to Exhibit 10.6 to the Annual Report on Form 10-K for the fiscal year ended December 31, 2012."
"10.2","Stock Purchase and Sale Agreement dated as of July 27, 2016 between the Company and Jupiter Gold Corporation (“Jupiter Gold”). Incorporated by reference to Exhibit 10.1 to the Jupiter Gold’s Registration Statement on Form F-1 filed with the Commission on December 1, 2016."
"10.8","2017 Stock Incentive Plan. Incorporated by reference to Exhibit 4.1 of the Registration Statement on Form S-8 filed with the Commission on December 8, 2017."
"21.1","Subsidiaries of the Company.*"
"31.1","Certification of the Chief Executive Officer pursuant to Section 15d-14(a) of the Securities Exchange Act of 1934, as amended, as adopted pursuant to Section 302 of the Sarbanes-Oxley Act of 2002.*"
"31.2","Certification of Chief Financial Officer pursuant to Section 15d-14(a) of the Securities Exchange Act of 1934, as amended, as adopted pursuant to Section 302 of the Sarbanes-Oxley Act of 2002.*"
"32.1","Certification of the Chief Executive Officer and Chief Financial Officer pursuant to 18 U.S.C. Section 135, as adopted pursuant to Section 906 of the Sarbanes-Oxley Act of 2002.*"
"101*","Interactive Data files pursuant to Rule 405 of Regulation S-T."
```
