Level1,Level2,Level3,Total
Cash equivalents,"$4,303","1,378",",$5,681"
Marketable securities:,,,
Corporate bonds and notes,,"4,459",",$4,459"
Equity securities,682,,",$682"
Mortgage- and asset-backed securities,,147,",$147"
U.S. Treasury securities and government-related securities,,10,",$10"
Total marketable securities,682,"4,616",",$5,298"
Derivative instruments,,42,",$42"
Other investments,685,,"$41,726"
Total assets measured at fair value,"$5,670","6,036","$41,$11,747"
Liabilities:,,,
Derivative instruments,,$111,",$111"
Other liabilities,685,,",$685"
Total liabilities measured at fair value,$685,111,",$796"
