Revenues,2021,2021,2020,2020,
Revenues,2021,2021,2020,2020,
Nonreportable segments,128 $ $,,133 $,168,
Unallocated revenues (Note 2),54,,"1,841","4,723",
,$ 182 $,,"1,974 $","4,891",
EBT,,,,,
Unallocated revenues (Note 2),$,54 $,"1,841 $","4,723",
Unallocated cost of revenues,(277),,(340),(430),
Unallocated research and development expenses,"(1,820)",,"(1,046)",(989),
"Unallocated seling, general and administrative expenses",(538),,(401),(413),
Unallocated other income (expenses) (Note 2),,,28,,
Unallocated interest expense,,,,(414),
,(559),,(599),(619),
"Unallocated investment and other income, net",166,,105,243,
Nonreportable segments,$,(58) (3.032) $,（63） (475) $,(61) 2.040,
