Balance at Beginning of Period,Charged to Costs and Expenses,Other,,"Year ended September 26, 2021","$ 1,728"
Balance at Beginning of Period,Charged to Costs and Expenses,Other,,"Year ended September 27, 2020","1,672"
Balance at Beginning of Period,Charged to Costs and Expenses,Other,,"Year ended September 29, 2019","1,529"
,$ 197,$ 197,,$ 197,
,"$,","$,",,"$,",
,$ 1,(4),,$ 1,(4)
,,,"Year ended September 26, 2021",,$ 1
,,,"Year ended September 27, 2020",,
,,,"Year ended September 29, 2019",,
,,,Balance at End of Period,"Year ended September 26, 2021","1,926"
,,,Balance at End of Period,"Year ended September 27, 2020","1,728"
,,,Balance at End of Period,"Year ended September 29, 2019","1,672"
