"September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate",,,,,,,,,
"September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate",,,,,Amount EffectiveMaturities (in millions) Rate,Amount EffectiveMaturities (in millions) Rate,Amount EffectiveMaturities (in millions) Rate,Amount EffectiveMaturities (in millions) Rate,Amount EffectiveMaturities (in millions) Rate
"September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate","September 26,2021 September 27,2020Amount Effective Amount EffectiveMaturities (in millions) Rate Maturities (in millions) Rate",Maturities,(in millions),,,,,,,
May 2015 Notes,May 2015 Notes,May 2015 Notes,May 2015 Notes,2022 - 2045,$,"5,405 2.63% - 4.73%",2022 - 2045,"$ 5,40552.62% -4.73%",,,,,,,,,
May 2017 Notes,May 2017 Notes,May 2017 Notes,May 2017 Notes,2023 - 2047,"5,860",0.92% - 4.46%,2023 - 2047,"5,8601.06% - 4.46%",,,,,,,,,
May 2020 Notes,May 2020 Notes,May 2020 Notes,May 2020 Notes,2030 - 2050,"2,000","2,000 2.31%- 3.30%",2030 - 2050,"2,000 2.31% - 3.30%",,,,,,,,,
August 2020 Notes,August 2020 Notes,August 2020 Notes,August 2020 Notes,2028 - 2032,"2,207",1.98% - 2.66%,2028-2032,2.2071.96% - 2.65%,,,,,,,,,
Total principal,Total principal,Total principal,Total principal,Total principal,"15,472",,,"15,472",,,,,,,,,
"Unamortized discount, including debt issuance costs","Unamortized discount, including debt issuance costs","Unamortized discount, including debt issuance costs","Unamortized discount, including debt issuance costs","Unamortized discount, including debt issuance costs",(234),,,(260),,,,,,,,,
Hedge accounting adjustments,Hedge accounting adjustments,Hedge accounting adjustments,Hedge accounting adjustments,Hedge accounting adjustments,7,,,14,,,,,,,,,
Total long-term debt,Total long-term debt,Total long-term debt,Total long-term debt,Total long-term debt,"$ 15,245",,,"$ 15,226",,,,,,,,,
Reported as:,Reported as:,Reported as:,Reported as:,Reported as:,,,,,,,,,,,,,
Short-term debt,Short-term debt,Short-term debt,Short-term debt,Short-term debt,"$ 1,544",,,$,,,,,,,,,
Long-term debt,Long-term debt,Long-term debt,Long-term debt,Long-term debt,"13,701",,,"15,226",,,,,,,,,
Total,Total,Total,Total,Total,"$ 15,245",,,"$ 15,226",,,,,,,,,
