Year Ended,"September 26,2021","September 27,2020","September 29,2019"
"Total stockholders' equity, beginning balance","$ 6,077","$ 4,909",$ 807
Common stock and paid-in capital:,Balance at beginning of period,586,"343,—"
Common stock issued under employee benefit plans,345,331,417
Repurchases and retirements of common stock,"(1,958)","(1,042)",(910)
Share-based compensation,"1,754","1,301","1,104"
Tax withholdings related to vesting of share-based payments,(737),(347),(268)
Stock awards assumed in acquisition,10,—,—
Balance at end of period,—,586,343
Retained earnings:,Balance at beginning of period,"5,284","4,466,542"
Cumulative effect of accounting changes,—,—,"3,455"
Net income,"9,043","5,198","4,386"
Repurchases and retirements of common stock,"(1,408)","(1,408)",(883)
Dividends,"(3,097)","(2,972)","(3,034)"
Balance at end of period,"9,822","5,284","4,466"
Accumulated other comprehensive income:,Balance at beginning of period,207,"100,265"
Cumulative effect of accounting changes,—,—,(51)
Other comprehensive (loss) income,(79),107,(114)
Balance at end of period,128,207,100
"Total stockholders' equity, ending balance","$ 9,950","$ 6,077","$ 4,909"
Dividends per share announced,$ 2.66,$ 2.54,$ 2.48
