Interest expense,2021,2020,2021 vs. 2020 Change
Interest expense,559,602,43
"Investment and other income, net",Interest and dividend income,83,"156,73"
"Investment and other income, net",Net gains on marketable securities,427,"198,229"
"Investment and other income, net",Net gains on other investments,470,"108,362"
"Investment and other income, net",Net gains on deferred compensation plan assets,130,"47,83"
"Investment and other income, net",Impairment losses on other investments,33,"405,372"
"Investment and other income, net",Net (losses) gains on derivative instruments,-14,"8,22"
"Investment and other income, net",Equity in net earnings (losses) of investees,13,"-21,34"
"Investment and other income, net",Net losses on foreign currency transactions,-32,"-25,7"
"Investment and other income, net",1044,66,978
