Current liabilities:,Trade accounts payable,"$ 2,750","2,248"
,Payroll and other benefits related liabilities,"1,531","1,053"
,Unearned revenues,612,568
,Short-term debt,"2,044",500
,Other current liabilities,"5,014","4,303"
,Total current liabilities,"11,951","8,672"
,Income taxes payable,"1,713","1,872"
,Long-term debt,"13,701","15,226"
,Other liabilities,"3,561","2,986"
,Total liabilities,"31,290","29,517"
Commitments and contingencies (Note 7),,,
Stockholders' equity:,"Preferred stock, $0.0001 par value; 8 shares authorized; none outstanding",,
,"Common stock and paid-in capital, $0.0001 par value; 6,000 shares authorized; 1,125 and 1,131 shares issued and outstanding,respectively",,586
,Retained earnings,"9,822","5,284"
,Accumulated other comprehensive income,128,207
,Total stockholders' equity,"9,950","6,077"
Total liabilities and stockholders' equity,"$ 41,240","$ 35,594",
