Signature,Title,Date
/s/ Cristiano R. Amon,"President and Chief Executive Officer,and Director","November 3,2021"
Cristiano R.Amon,(Principal Executive Officer),
/s/ Akash Palkhiwala Akash Palkhiwala,Chief Financial Officer (Principal Financial Officer),"November 3,2021"
,"Senior Vice President, Corporate Controller and Chief",
/s/Erin Polek Erin Polek,Accounting Officer (Principal Accounting Officer),"November 3,2021"
/s/ Sylvia Acevedo,Director,"November 3,2021"
Sylvia Acevedo,,
/s/Mark Fields,Director,"November 3,2021"
Mark Fields,,
/s/ Jeffrey W. Henderson,Director,"November 3,2021"
Jeffrey W.Henderson,,
/s/ Gregory N. Johnson,Director,"November 3,2021"
Gregory N. Johnson,,
/s/ Ann M. Livermore,Director,"November 3,2021"
Ann M.Livermore,,
/s/Harish Manwani Harish Manwani,Director,"November 3,2021"
/s/ Mark D. McLaughlin MarkD.McLaughlin,Chair of the Board,"November 3,2021"
/s/ Jamie S.Miller Jamie S.Miller,Director,"November 3,2021"
"/s/Clark T. Randt, Jr.",,
"Clark T.Randt, Jr.",Director,"November 3,2021"
/s/Irene B.Rosenfeld,Director,"November 3,2021"
Irene B.Rosenfeld,,
/s/Kornelis (Neil) Smit,Director,"November 3,2021"
Kornelis (Neil) Smit,,
/s/ Jean-Pascal Tricoire Jean-Pascal Tricoire,Director,"November 3,2021"
/s/ Anthony J. Vinciquerra Anthony J.Vinciquerra,Director,"November 3,2021"
