Year Ended,"September 26, 2021","September 27, 2020","September 29, 2019"
Revenues:,Equipment and services,"$ 26,741","$ 16,298"
Revenues:,Licensing,"$ 6,825","$ 7,233"
Revenues:,Total revenues,"$ 33,566","$ 23,531"
Costs and expenses:,Cost of revenues,"$ 14,262","$ 9,255"
Costs and expenses:,Research and development,"$ 7,176","$ 5,975"
Costs and expenses:,"Selling, general and administrative","$ 2,339","$ 2,074"
Costs and expenses:,Other,—,(28)
Costs and expenses:,Total costs and expenses,"$ 23,777","$ 17,276"
Costs and expenses:,Operating income,"$ 9,789","$ 6,255"
Costs and expenses:,Interest expense,$ (559),$ (602)
Costs and expenses:,"Investment and other income, net","$ 1,044",66
Costs and expenses:,Income before income taxes,"$ 10,274","$ 5,719"
Costs and expenses:,Income tax expense,"$ (1,231)",$ (521)
Costs and expenses:,Net income,"$ 9,043","$ 5,198"
Earnings per share:,Basic earnings per share,$ 7.99,$ 4.58
Earnings per share:,Diluted earnings per share,$ 7.87,$ 4.52
Shares used in per share calculations:,Basic,"1,131","1,135"
Shares used in per share calculations:,Diluted,"1,149","1,149"
