Signature,Title,Date
/s/ Cristiano R. Amon,"President and Chief Executive Officer, and Director (Principal Executive Officer)","November 3,2021"
/s/ Akash Palkhiwala,Chief Financial Officer (Principal Financial Officer),"November 3,2021"
/s/ Erin Polek,"Senior Vice President, Corporate Controller and Chief Accounting Officer (Principal Accounting Officer)","November 3,2021"
/s/ Sylvia Acevedo,Director,"November 3,2021"
/s/ Mark Fields,Director,"November 3,2021"
/s/ Jeffrey W. Henderson,Director,"November 3,2021"
/s/ Gregory N. Johnson,Director,"November 3,2021"
/s/ Ann M. Livermore,Director,"November 3,2021"
/s/ Harish Manwani,Director,"November 3,2021"
/s/ Mark D. McLaughlin,Chair of the Board,"November 3,2021"
/s/ Jamie S. Miller,Director,"November 3,2021"
"/s/ Clark T. Randt, Jr.",Director,"November 3,2021"
/s/ Irene B. Rosenfeld,Director,"November 3,2021"
/s/ Kornelis (Neil) Smit,Director,"November 3,2021"
/s/ Jean-Pascal Tricoire,Director,"November 3,2021"
/s/ Anthony J. Vinciquerra,Director,"November 3,2021"
