Page Number,(1) Report of Independent Registered Public Accounting Firm,,,,,,,
F-1,F-1,,,,,,,
,,"Consolidated Balance Sheets at September 26, 2021 and September 27, 2020",,,,,,
,F-3,F-3,,,,,,
,,"Consolidated Statements of Operations for Fiscal 2021, 2020 and 2019",,,,,,
,F-4,F-4,,,,,,
,,"Consolidated Statements of Comprehensive Income for Fiscal 2021, 2020 and 2019",,,,,,
,F-5,F-5,,,,,,
,,"Consolidated Statements of Cash Flows for Fiscal 2021, 2020 and 2019",,,,,,
,F-6,"Consolidated Statements of CashFlows forFiscal 2021,2020 and 2019",,,,,,
,,"Consolidated Statements of Stockholders' Equity for Fiscal 2021, 2020 and 2019",,,,,,
,F-7,"Consolidated Statements of Stockholders’Equity for Fiscal 2021,2020 and 2019",,,,,,
,,Notes to Consolidated Financial Statements,,,,,,
,F-8,F-8,,,,,,
,,"(2) Schedule II - Valuation and Qualifying Accounts for Fiscal 2021, 2020 and 2019",,,,,,
S-1,S-1,S-1,,,,,,
