Revenues:,YearEnded,YearEnded,YearEnded
Revenues:,"September 26,September 27,September 29,2021 2020 2019","September 26,September 27,September 29,2021 2020 2019","September 26,September 27,September 29,2021 2020 2019"
Revenues:,,,
Equipment and services,"$ 26,741 $","16,298 $","14,611"
Licensing,"6,825","7,233",9.662
Total revenues,"33,566","23,531","24,273"
Costs and expenses:,,,
Cost of revenues,"14,262","9,255","8,599"
Research and development,"7,176","5,975","5,398"
"Selling, general and administrative","2,339",2.074,"2,195"
Other,,(28）,414
Total costs and expenses,"23,777","17,276","16,606"
Operating income,9.789,"6,255","7,667"
Interest expense,(559),(602),(627)
"Investment and other income, net","1,044",66,441
Income before income taxes,"10,274","5,719","7,481"
Income tax expense,"(1,231)",(521),"(3,095)"
Net income,$ 9.043,"$ 5,198","$ 4,386"
Basic earnings per share,$ 7.99 $,4.58,$ 3.63
Diluted earnings per share,$ 7.87s,4.52,$ 3.59
Shares used in per share calculations:,,,
Basic,"1,131","1,135","1,210"
Diluted,"1,149","1,149","1,220"
