ASSETS,"September 26, 2021","September 27, 2020"
Current assets:,Cash and cash equivalents,"$ 7,116,$ 6,707"
,Marketable securities,"5,298,4,507"
,"Accounts receivable, net","3,579,4,003"
,Inventories,"3,228,2,598"
,Other current assets,"854,704"
,Total current assets,"20,075,18,519"
,Deferred tax assets,"1,591,1,351"
,"Property, plant and equipment, net","4,559,3,711"
,Goodwill,"7,246,6,323"
,"Other intangible assets, net","1,458,1,653"
,Other assets,"6,311,4,037"
,Total assets,"$ 41,240,$ 35,594"
