Revenues,2021,2020,2019
Nonreportable segments,$ 128,,$ 133
Unallocated revenues (Note 2),54,,"1,841"
$,182,,"$ 1,974"
EBT,,,
Unallocated cost of revenues,(277),,(340)
Unallocated research and development expenses,"(1,820)",,"(1,046)"
"Unallocated selling, general and administrative expenses",(538),,(401)
Unallocated other income (expenses) (Note 2),-,28,
Unallocated interest expense,(559),,(599)
"Unallocated investment and other income, net",166,,105
Nonreportable segments,-,(58),-(63)
$,"-$(3,032)",,$-(475)
