Exhibit Number,Exhibit Description,Form,Date of First Filing,Exhibit Number,Filed Herewith
2.1,"Agreement and Plan of Merger, dated as of January 12, 2021,among Qualcomm Technologies, Inc., Nile Acquisition Corporation and NuVia, Inc. (1)",8-K,1/13/2021,2.1,
2.2,"Agreement and Planof Merger.dated as of October 42021,by and among QUALCOMM Incorporated, SSW HoldCo LP, SSW Merger Sub Corp and Veoneer, Inc. (1)",8-K,10/4/2021,2.1,
3.1,Amended and Restated Certificate of Incorporation.,8-K,4/20/2018,3.1,
3.2,Amended and Restated Bylaws.,8-K,7/23/2021,3.2,
4.1,"Indenture, dated May 20, 2015,between the Company and U.S. Bank",8-K,5/21/2015,4.1,
4.2,"National Association,as trustee. Officers’ Certificate, dated May 20,2015, for the Floating Rate Notes due 2018, the Floating Rate Notes due 2020, the 1.400% Notes due 2018, the",8-K,5/21/2015,4.2,
4.3,"2.250% Notes due 2020, the 3.000% Notes due 2022. the 3.450% Notes due 2025, the 4.650% Notes due 2035 and the 4.800% Notes due 2045. Form of3.000% Notes due 2022.",,5/21/2015,,
4.4,Form of 3.450% Notes due 2025.,8-K,,4.7,
,,8-K,5/21/2015,4.8,
4.5,Form of 4.650% Notes due 2035.,8-K,5/21/2015,4.9,
4.6 4.7,"Form of 4.800% Notes due 2045. Oficers’ Certificate,dated May 26,2017,for the Floating Rate Notes due 2019. the Floating Rate Notes due 2020, the Floating Rate Notes due 2023,",8-K 8-K,5/21/2015 5/31/2017,4.10 4.2,
,"the 1.850% Notes due 2019, the 2.100% Notes due 2020, the 2.600% Notes due 2023,the 2.900% Notes due 2024, the 3.250% Notes due 2027 and the 4.300% Notes due 2047.",,,,
4.8 4.9,Form ofFloating Rate Notes due 2023.,8-K,5/31/2017,4.5,
,Form of 2.600% Notes due 2023.,8-K,5/31/2017,4.8,
4.10,Form of 2.900% Notes due 2024.,8-K,5/31/2017,4.9,
4.11,Form of 3.250% Notes due 2027.,8-K,5/31/2017,4.10,
4.12,Form of 4.300% Notes due 2047.,8-K,5/31/2017,4.11,
4.13,"Officers’ Certificate, dated May 8, 2020, for the 2.150% Notes due 2030 and the 3.250% Notes due 2050.",8-K,5/11/2020,4.2,
4.14,Form of 2.150% Notes due 2030.,8-K,5/11/2020,4.3,
4.15,Form of 3.250% Notes due 2050.,8-K,5/11/2020,4.4,
4.16,"Officers' Certificate, dated August 14, 2020,for the 1.300% Notes due 2028 and the 1.650% Notes due 2032.",8-K,8/18/2020,4.2,
4.17,Form of 1.300% Rule 144A Global Notes due 2028.,8-K,8/18/2020,4.3,
4.18,Form of 1.650% Rule 144A Global Notes due 2032.,8-K,8/18/2020,4.5,
4.19,"Registration Rights Agreement, dated as of August 14, 2020.",8-K,8/18/2020,4.7,
4.20,"Officers' Certificate,dated January 6,2021,for the 1.300% Notes due 2028 and the 1.650% Notes due 2032.",10-Q,02/3/2021,4.23,
4.21,Form of 1.300% Notes due 2028.,10-Q,02/3/2021,4.24,
4.22,Form of 1.650% Notes due 2032.,10-Q,02/3/2021,4.25,
4.23,Description of registrant's securities.,10-K,11/6/2019,4.15,
10.1,Form of Indemnity Agreement between the Company and its directors and officers. (2),10-K,11/4/2015,10.1,
10.2,Amended and Restated 2016 Long-Term Incentive Plan. (2),10-Q,4/29/2020,10.7,
10.3,Form of Non-Employee Director Deferred Stock Unit Grant Notices and Non-Employee Director Deferred Stock Unit Agreements under the 2016 Long-Term Incentive Plan for non-employee directors residing in the United States (2016 Form). (2),10-Q,4/20/2016,10.32,
