Year Ended,September 26,2021,September 27,2020,September 29,2019
Revenues:,Equipment and services,"$ 26,741","$ 16,298","$ 14,611",,
Revenues:,Licensing,"$ 6,825","$ 7,233","$ 9,662",,
Revenues:,Total revenues,"$ 33,566","$ 23,531","$ 24,273",,
Costs and expenses:,Cost of revenues,"$ 14,262","$ 9,255","$ 8,599",,
Costs and expenses:,Research and development,"$ 7,176","$ 5,975","$ 5,398",,
Costs and expenses:,Selling, general and administrative,"$ 2,339","$ 2,074","$ 2,195",
Costs and expenses:,Other,"—""—""""",$ (28),$ 414,,
Costs and expenses:,Total costs and expenses,"$ 23,777","$ 17,276","$ 16,606",,
Costs and expenses:,Operating income,"$ 9,789","$ 6,255","$ 7,667",,
Costs and expenses:,Interest expense,$ (559),$ (602),$ (627),,
Costs and expenses:,Investment and other income, net,"$ 1,044",$ 66,$ 441,
Costs and expenses:,Income before income taxes,"$ 10,274","$ 5,719","$ 7,481",,
Costs and expenses:,Income tax expense,"$ (1,231)",$ (521),"$ (3,095)",,
Costs and expenses:,Net income,"$ 9,043","$ 5,198","$ 4,386",,
Earnings per share:,Basic earnings per share,$ 7.99,$ 4.58,$ 3.63,,
Earnings per share:,Diluted earnings per share,$ 7.87,$ 4.52,$ 3.59,,
Shares used in per share calculations:,Basic,"1,131","1,135","1,210",,
Shares used in per share calculations:,Diluted,"1,149","1,149","1,220",,
