UAEN=300,OmanN=200,QatarN=200,BahrainN=200,KSAN=300,KuwaitN=200,EgyptN=300,JordanN=200,LebanonN=200
AbuDhabi,Muscat,Doha,Manama,Riyadh,Kuwait City,Cairo,Amman,Beirut
40%Dubai,50%,55%,100%,40%,20%,50%,50%,60%
40%Dubai,Batinah,AlRayyan,,Jeddah,,50%,50%,60%
40%Dubai,Batinah,AlRayyan,,Jeddah,Al Hawalli,Alexandria,Irbid,Saida
40%,50%,45%,,40%,30th,25%,25%Zarqa,20%Tripoli
Sharjah20%,,,,Dammam,AlAhmadi,Mansoura,25%Zarqa,20%Tripoli
Sharjah20%,,,,20%,20%,25%,25%,20%
Sharjah20%,,,,,,,25%,20%
Sharjah20%,,,,,Farwaniya,,,
Sharjah20%,,,,,30%,,,
