Personality label,PersonalityScore,Review Texts
Openness,63.07,"Near perfect exfoliating gloves my only complaint is a matter of preference rather than productdefect.I prefer the harder surface area to use on round areas of the body or potentially harder like the feet,elbows, etc."
Openness,62.62,"Azuris always my favorite in the Thymes collection because of its clean,fresh scent.Ilike that my skin feels moisturized when using this product in the shower."
Conscientiousness,75.38,"Ihave had this shower gel once before,and it's amazing.Hard to find, too.One of The Body Shop's best scents,and it's usually only available seasonally!wish they sold it in bigger bottles,but I was happy to find it."
Conscientiousness,71.02,"Don't just take my word for it,you must try it.A dear friend got me this from Italy 12 years ago and has been using it since,very hard to find it in the US.This shower cream will transform your shower experience."
Extroversion,75.06,Love this shampoo! Recommended by a friend! The color really lasts!!!
Extroversion,72.90,Looked all over to find where to purchase this product and we are very happy tobe able to finally find it.The PRELL Conditioner is by far the best you can buy.We love it!!
Agreeableness,80.06,Great product -my wife loves it
Agreeableness,78.18,Great deal and leavesmy kids smellingawesome!I bought a box of them years ago and we still have some left!!!Great deal and leaves my kids smelling awesome!
Neuroticism,67.81,Too expensive for such poor quality.There was no improvement and Iam starting to think my scalp is worse of than it was beforeI started using this product.I do agree with other reviews that it feels watered.
Neuroticism,62.28,"Nope.It smells like artificial bananas,and this smell does linger.It's pure liquid, there is no thickness to it at all, it's like pouring banana water on your headthat lathers.It does not help with an itchy scalp either."
