Trait,Amazon-beauty HR,Amazon-beauty NDCG,Amazon-music HR,Amazon-music NDCG,Personality2018 HR,Personality2018 NDCG
OPEN +,0.833,0.729,0.330,0.205,0.535,0.420
OPEN -,0.750,0.545,0.313,0.161,0.547,0.422
CON +,0.883,0.769,0.228,0.132,0.475,0.358
CON -,0.727,0.490,0.279,0.150,0.441,0.361
EXT +,0.970,0.882,0.319,0.181,0.611,0.412
EXT -,0.872,0.600,0.317,0.169,0.556,0.411
AGR +,0.968,0.878,0.332,0.198,0.621,0.512
AGR -,0.864,0.593,0.308,0.185,0.552,0.430
NEU +,0.933,0.835,0.397,0.230,0.489,0.390
NEU -,0.833,0.536,0.397,0.254,0.511,0.415
