Weighting dimensions,Weighting dimensions
Variable,Benchmark source
Gender,2018 American Community
Age,Survey
Education Race/Hispanic,
origin Born inside vs. outside the U.S. among Asians,
Country of birth among Hispanics Years lived in the,
United States Home internet access,
Region X Metropolitan status Supplement Volunteerism,2019 CPS March 2017 CPS
,Volunteering& Civic Life Supplement 2018 CPS Voting
Voter registration,and Registration Supplement Average of the
Party affiliation,three most recent Pew Research Center telephone surveys.
