Group,Unweighted sample size,Weighted %,Plus or minus ...
Total sample,11001,,1.5 percentage points
Half sample,At least 5500,,2.1 percentage points
Rep/Lean Rep,4507,45,2.2 percentage points
Half sample,At least 2230,,3.1 percentage points
Dem/Lean Dem,6132,51,2.0 percentage points
Half sample,At least 3033,,2.8 percentage points
COVID-19 county health impact as of July 26,,,
"Higher, most deaths within last 8 weeks",2968,22,3.2 percentage points
"Higher, most deaths over 8 weeks ago",3049,29,2.7 percentage points
"Lower, most deaths within last 8 weeks",2469,24,3.0 percentage points
"Lower, most deaths over 8 weeks ago",2515,25,2.9 percentage points
