Variable,Benchmark
Gender,2018 American Community Survey
Age,2018 American Community Survey
Education,
Race/Hispanic origin,
Born inside vs.outside the U.S.among Asians,
Country of birth among Hispanics,
Years lived in the United States,
Home internet access,
Region x,2019 CPS March Supplement
Metropolitan status,2019 CPS March Supplement
Volunteerism,2017 CPS Volunteering & Civic Life Supplement
Voter registration,2018 CPS Voting and Registration Supplement
Party affiliation,Average of the three most recent Pew Research Center telephone surveys.
