Chapter,1.,,WELCOME,,,8
Chapter,1.1,Help us take care of Bergen,,,,10
Chapter,1.2,The Tourist Information,,,,14
Chapter,1.3,The Bergen Card,,,,16
Chapter,1.4,A more sustainable travel experience,,,,18
Chapter,2.,EXPERIENCES,,,,20
Chapter,2.,,Map,,,22
Chapter,2.1,Attractions,,,,24
Chapter,2.2,Museums,,,,28
Chapter,2.3,Churches,,,,40
Chapter,2.4,Sightseeing,,,,41
Chapter,3.,CULTURE,,,,44
Chapter,4.,SHOPPING,,,,46
Chapter,5.,RESTAURANTS,,,,50
Chapter,5.1,Exclusive,,,,54
Chapter,5.2,Typical of Bergen,,,,55
Chapter,5.3,Others,,,,56
Chapter,6.,NIGHTLIFE,,,,62
Chapter,6.1,Bars/Pubs/Nightclubs,,,,64
Chapter,7.,FJORD TOURS,,,,68
Chapter,8.,VESTLAND,,,,78
Chapter,8.1,Austevoll,,,,80
Chapter,8.2,Nordhordland,,,,82
Chapter,8.3,Tysnes,,,,86
Chapter,8.4,Dygarden,,,,88
Chapter,8.,,TRANSPORT,,,
Chapter,9.,,,,,92
Chapter,10.,MAP,,,,96
